Operon,Orientation,Genes
>OP_AR0_RS00850,+,AR0_RS00850,AR0_RS00855
>OP_AR0_RS14890,-,AR0_RS14890,AR0_RS00865
>OP_AR0_RS00875,+,AR0_RS00875,AR0_RS00880,AR0_RS00885,AR0_RS00890,AR0_RS00895
>OP_AR0_RS00910,+,AR0_RS00910,AR0_RS00915
>OP_AR0_RS00935,-,AR0_RS00935,AR0_RS00930
>OP_AR0_RS00960,+,AR0_RS00960,AR0_RS00965,AR0_RS00970,AR0_RS00975,AR0_RS00980,AR0_RS00985
>OP_AR0_RS01015,+,AR0_RS01015,AR0_RS01020
>OP_AR0_RS01035,+,AR0_RS01035,AR0_RS01040,AR0_RS01045,AR0_RS01050,AR0_RS01055,AR0_RS01060,AR0_RS01065
>OP_AR0_RS01070,+,AR0_RS01070,AR0_RS01075
>OP_AR0_RS01080,+,AR0_RS01080,AR0_RS01085
>OP_AR0_RS01095,+,AR0_RS01095,AR0_RS01100
>OP_AR0_RS01115,+,AR0_RS01115,AR0_RS01120
>OP_AR0_RS01135,-,AR0_RS01135,AR0_RS01130
>OP_AR0_RS01155,+,AR0_RS01155,AR0_RS01160
>OP_AR0_RS01175,-,AR0_RS01175,AR0_RS01170
>OP_AR0_RS01185,-,AR0_RS01185,AR0_RS01180
>OP_AR0_RS01195,+,AR0_RS01195,AR0_RS01200,AR0_RS01205,AR0_RS01210,AR0_RS01215,AR0_RS01220
>OP_AR0_RS01230,-,AR0_RS01230,AR0_RS01225
>OP_AR0_RS01240,-,AR0_RS01240,AR0_RS01235
>OP_AR0_RS01255,-,AR0_RS01255,AR0_RS01250
>OP_AR0_RS01315,-,AR0_RS01315,AR0_RS01310,AR0_RS01305,AR0_RS01300,AR0_RS01295,AR0_RS01290,AR0_RS01285
>OP_AR0_RS01335,-,AR0_RS01335,AR0_RS01330,AR0_RS01325
>OP_AR0_RS01370,+,AR0_RS01370,AR0_RS01375
>OP_AR0_RS01395,+,AR0_RS01395,AR0_RS01400
>OP_AR0_RS01410,+,AR0_RS01410,AR0_RS01415,AR0_RS01420
>OP_AR0_RS01440,+,AR0_RS01440,AR0_RS01445
>OP_AR0_RS01470,-,AR0_RS01470,AR0_RS01465,AR0_RS01460
>OP_AR0_RS01495,+,AR0_RS01495,AR0_RS01500
>OP_AR0_RS01530,+,AR0_RS01530,AR0_RS01535
>OP_AR0_RS01550,+,AR0_RS01550,AR0_RS01555
>OP_AR0_RS01585,-,AR0_RS01585,AR0_RS01580,AR0_RS01575,AR0_RS01570,AR0_RS01565,AR0_RS01560
>OP_AR0_RS01610,-,AR0_RS01610,AR0_RS01605,AR0_RS01600
>OP_AR0_RS01650,+,AR0_RS01650,AR0_RS01655
>OP_AR0_RS01665,-,AR0_RS01665,AR0_RS01660
>OP_AR0_RS01675,+,AR0_RS01675,AR0_RS01680,AR0_RS01685,AR0_RS01690
>OP_AR0_RS01710,+,AR0_RS01710,AR0_RS01715,AR0_RS01720
>OP_AR0_RS01735,-,AR0_RS01735,AR0_RS01730
>OP_AR0_RS01745,+,AR0_RS01745,AR0_RS01750,AR0_RS01755,AR0_RS01760,AR0_RS01765,AR0_RS01770,AR0_RS01775
>OP_AR0_RS01790,+,AR0_RS01790,AR0_RS01795
>OP_AR0_RS01820,-,AR0_RS01820,AR0_RS01815
>OP_AR0_RS01850,-,AR0_RS01850,AR0_RS01845,AR0_RS01840
>OP_AR0_RS01885,+,AR0_RS01885,AR0_RS01890
>OP_AR0_RS01905,+,AR0_RS01905,AR0_RS01910,AR0_RS01915
>OP_AR0_RS01920,+,AR0_RS01920,AR0_RS01925
>OP_AR0_RS01935,-,AR0_RS01935,AR0_RS01930
>OP_AR0_RS01940,+,AR0_RS01940,AR0_RS01945
>OP_AR0_RS01965,-,AR0_RS01965,AR0_RS01960
>OP_AR0_RS01985,-,AR0_RS01985,AR0_RS01980,AR0_RS01975,AR0_RS01970
>OP_AR0_RS02010,-,AR0_RS02010,AR0_RS02005,AR0_RS02000
>OP_AR0_RS02095,-,AR0_RS02095,AR0_RS02090,AR0_RS02085
>OP_AR0_RS02115,+,AR0_RS02115,AR0_RS02120
>OP_AR0_RS02170,-,AR0_RS02170,AR0_RS02165,AR0_RS02160
>OP_AR0_RS02175,+,AR0_RS02175,AR0_RS02180
>OP_AR0_RS02215,+,AR0_RS02215,AR0_RS02220,AR0_RS02225
>OP_AR0_RS02250,+,AR0_RS02250,AR0_RS02255
>OP_AR0_RS02290,+,AR0_RS02290,AR0_RS02295,AR0_RS02300
>OP_AR0_RS15110,+,AR0_RS15110,AR0_RS02315
>OP_AR0_RS02330,-,AR0_RS02330,AR0_RS02325
>OP_AR0_RS02340,+,AR0_RS02340,AR0_RS02345,AR0_RS02350
>OP_AR0_RS02355,+,AR0_RS02355,AR0_RS02360,AR0_RS02365
>OP_AR0_RS02395,-,AR0_RS02395,AR0_RS02390,AR0_RS02385
>OP_AR0_RS02400,+,AR0_RS02400,AR0_RS02405,AR0_RS02410,AR0_RS02415
>OP_AR0_RS02420,+,AR0_RS02420,AR0_RS02425
>OP_AR0_RS02440,-,AR0_RS02440,AR0_RS02435
>OP_AR0_RS02445,+,AR0_RS02445,AR0_RS02450
>OP_AR0_RS02460,+,AR0_RS02460,AR0_RS02465
>OP_AR0_RS02470,+,AR0_RS02470,AR0_RS02475
>OP_AR0_RS02495,+,AR0_RS02495,AR0_RS02500
>OP_AR0_RS02525,+,AR0_RS02525,AR0_RS02530
>OP_AR0_RS02545,+,AR0_RS02545,AR0_RS02550,AR0_RS02555,AR0_RS02560
>OP_AR0_RS02575,-,AR0_RS02575,AR0_RS02570
>OP_AR0_RS02585,+,AR0_RS02585,AR0_RS02590
>OP_AR0_RS02595,+,AR0_RS02595,AR0_RS02600,AR0_RS02605
>OP_AR0_RS02615,+,AR0_RS02615,AR0_RS02620
>OP_AR0_RS02625,+,AR0_RS02625,AR0_RS02630,AR0_RS02635,AR0_RS02640,AR0_RS02645
>OP_AR0_RS02655,+,AR0_RS02655,AR0_RS02660
>OP_AR0_RS02705,-,AR0_RS02705,AR0_RS02700
>OP_AR0_RS02715,-,AR0_RS02715,AR0_RS02710
>OP_AR0_RS02730,-,AR0_RS02730,AR0_RS02725,AR0_RS02720
>OP_AR0_RS02740,-,AR0_RS02740,AR0_RS02735
>OP_AR0_RS02755,-,AR0_RS02755,AR0_RS02750
>OP_AR0_RS02760,+,AR0_RS02760,AR0_RS02765,AR0_RS02770,AR0_RS02775
>OP_AR0_RS02785,+,AR0_RS02785,AR0_RS02790
>OP_AR0_RS02855,+,AR0_RS02855,AR0_RS02860,AR0_RS02865
>OP_AR0_RS02870,+,AR0_RS02870,AR0_RS02875,AR0_RS02880
>OP_AR0_RS02910,+,AR0_RS02910,AR0_RS02915
>OP_AR0_RS02925,+,AR0_RS02925,AR0_RS02930
>OP_AR0_RS02965,-,AR0_RS02965,AR0_RS02960,AR0_RS02955
>OP_AR0_RS02980,+,AR0_RS02980,AR0_RS02985,AR0_RS02990,AR0_RS02995,AR0_RS03000,AR0_RS03005,AR0_RS03010,AR0_RS03015,AR0_RS03020,AR0_RS03025,AR0_RS03030
>OP_AR0_RS03045,+,AR0_RS03045,AR0_RS03050,AR0_RS03055
>OP_AR0_RS03080,-,AR0_RS03080,AR0_RS03075,AR0_RS03070,AR0_RS03065
>OP_AR0_RS03115,-,AR0_RS03115,AR0_RS03110,AR0_RS03105,AR0_RS03100,AR0_RS03095
>OP_AR0_RS03125,+,AR0_RS03125,AR0_RS03130,AR0_RS03135,AR0_RS03140,AR0_RS03145,AR0_RS03150
>OP_AR0_RS03175,+,AR0_RS03175,AR0_RS03180,AR0_RS03185
>OP_AR0_RS03190,+,AR0_RS03190,AR0_RS03195,AR0_RS03200
>OP_AR0_RS03205,+,AR0_RS03205,AR0_RS03210,AR0_RS03215
>OP_AR0_RS03270,-,AR0_RS03270,AR0_RS03265,AR0_RS03260,AR0_RS03255,AR0_RS03250,AR0_RS03245,AR0_RS03240,AR0_RS03235
>OP_AR0_RS03280,+,AR0_RS03280,AR0_RS03285
>OP_AR0_RS03305,+,AR0_RS03305,AR0_RS03310,AR0_RS03315
>OP_AR0_RS03345,+,AR0_RS03345,AR0_RS03350
>OP_AR0_RS03370,-,AR0_RS03370,AR0_RS03365
>OP_AR0_RS03375,+,AR0_RS03375,AR0_RS03380
>OP_AR0_RS03385,+,AR0_RS03385,AR0_RS03390
>OP_AR0_RS03395,+,AR0_RS03395,AR0_RS03400
>OP_AR0_RS03410,+,AR0_RS03410,AR0_RS03415,AR0_RS03420
>OP_AR0_RS03430,+,AR0_RS03430,AR0_RS03435
>OP_AR0_RS03440,+,AR0_RS03440,AR0_RS03445,AR0_RS03450,AR0_RS03455,AR0_RS03460,AR0_RS03465
>OP_AR0_RS03475,+,AR0_RS03475,AR0_RS03480
>OP_AR0_RS03490,+,AR0_RS03490,AR0_RS03495
>OP_AR0_RS03520,+,AR0_RS03520,AR0_RS03525
>OP_AR0_RS03540,+,AR0_RS03540,AR0_RS03545,AR0_RS03550
>OP_AR0_RS03565,+,AR0_RS03565,AR0_RS03570
>OP_AR0_RS03610,-,AR0_RS03610,AR0_RS03605,AR0_RS03600,AR0_RS03595,AR0_RS03590,AR0_RS03585
>OP_AR0_RS03650,-,AR0_RS03650,AR0_RS03645
>OP_AR0_RS03660,-,AR0_RS03660,AR0_RS03655
>OP_AR0_RS03675,+,AR0_RS03675,AR0_RS03680,AR0_RS03685
>OP_AR0_RS03695,+,AR0_RS03695,AR0_RS03700
>OP_AR0_RS03715,+,AR0_RS03715,AR0_RS03720
>OP_AR0_RS03745,+,AR0_RS03745,AR0_RS03750
>OP_AR0_RS03755,+,AR0_RS03755,AR0_RS03760,AR0_RS03765
>OP_AR0_RS03775,-,AR0_RS03775,AR0_RS03770
>OP_AR0_RS03815,-,AR0_RS03815,AR0_RS03810,AR0_RS03805,AR0_RS03800,AR0_RS03795
>OP_AR0_RS03825,+,AR0_RS03825,AR0_RS03830
>OP_AR0_RS03850,-,AR0_RS03850,AR0_RS03845,AR0_RS03840
>OP_AR0_RS03885,-,AR0_RS03885,AR0_RS03880
>OP_AR0_RS03940,+,AR0_RS03940,AR0_RS03945,AR0_RS03950
>OP_AR0_RS03960,-,AR0_RS03960,AR0_RS03955
>OP_AR0_RS04005,-,AR0_RS04005,AR0_RS04000,AR0_RS03995
>OP_AR0_RS04020,+,AR0_RS04020,AR0_RS04025,AR0_RS04030,AR0_RS04035
>OP_AR0_RS04040,+,AR0_RS04040,AR0_RS04045
>OP_AR0_RS04060,-,AR0_RS04060,AR0_RS04055
>OP_AR0_RS04090,-,AR0_RS04090,AR0_RS04085,AR0_RS04080
>OP_AR0_RS04120,-,AR0_RS04120,AR0_RS04115
>OP_AR0_RS04145,-,AR0_RS04145,AR0_RS04140,AR0_RS04135,AR0_RS04130
>OP_AR0_RS04185,+,AR0_RS04185,AR0_RS04190
>OP_AR0_RS04205,+,AR0_RS04205,AR0_RS04210,AR0_RS04215
>OP_AR0_RS04220,+,AR0_RS04220,AR0_RS04225,AR0_RS04230
>OP_AR0_RS04250,+,AR0_RS04250,AR0_RS04255
>OP_AR0_RS04280,+,AR0_RS04280,AR0_RS15145
>OP_AR0_RS04300,-,AR0_RS04300,AR0_RS04295
>OP_AR0_RS04305,+,AR0_RS04305,AR0_RS04310,AR0_RS04315,AR0_RS04320,AR0_RS04325,AR0_RS04330,AR0_RS04335,AR0_RS04340
>OP_AR0_RS04385,+,AR0_RS04385,AR0_RS04390
>OP_AR0_RS04415,-,AR0_RS04415,AR0_RS04410
>OP_AR0_RS04425,+,AR0_RS04425,AR0_RS04430,AR0_RS04435,AR0_RS04440
>OP_AR0_RS04455,-,AR0_RS04455,AR0_RS04450
>OP_AR0_RS04470,+,AR0_RS04470,AR0_RS04475,AR0_RS04480,AR0_RS14925
>OP_AR0_RS04510,-,AR0_RS04510,AR0_RS04505
>OP_AR0_RS04545,-,AR0_RS04545,AR0_RS04540,AR0_RS04535
>OP_AR0_RS04550,+,AR0_RS04550,AR0_RS04555
>OP_AR0_RS04565,-,AR0_RS04565,AR0_RS04560
>OP_AR0_RS04590,+,AR0_RS04590,AR0_RS04595
>OP_AR0_RS04660,-,AR0_RS04660,AR0_RS04655,AR0_RS04650,AR0_RS04645
>OP_AR0_RS04665,+,AR0_RS04665,AR0_RS04670,AR0_RS04675
>OP_AR0_RS04690,-,AR0_RS04690,AR0_RS04685
>OP_AR0_RS04720,-,AR0_RS04720,AR0_RS04715,AR0_RS04710
>OP_AR0_RS04730,+,AR0_RS04730,AR0_RS04735,AR0_RS04740
>OP_AR0_RS04775,-,AR0_RS04775,AR0_RS04770,AR0_RS04765,AR0_RS04760
>OP_AR0_RS04790,+,AR0_RS04790,AR0_RS04795
>OP_AR0_RS04815,+,AR0_RS04815,AR0_RS15160
>OP_AR0_RS04835,+,AR0_RS04835,AR0_RS04840
>OP_AR0_RS04850,+,AR0_RS04850,AR0_RS04855
>OP_AR0_RS04860,+,AR0_RS04860,AR0_RS04865,AR0_RS04870
>OP_AR0_RS04910,-,AR0_RS04910,AR0_RS04905
>OP_AR0_RS15165,+,AR0_RS15165,AR0_RS14935
>OP_AR0_RS04950,+,AR0_RS04950,AR0_RS04955
>OP_AR0_RS04965,+,AR0_RS04965,AR0_RS04970,AR0_RS04975,AR0_RS04980,AR0_RS04985
>OP_AR0_RS05040,-,AR0_RS05040,AR0_RS05035
>OP_AR0_RS05070,+,AR0_RS05070,AR0_RS05075,AR0_RS05080,AR0_RS05085,AR0_RS05090
>OP_AR0_RS05105,+,AR0_RS05105,AR0_RS15175
>OP_AR0_RS05135,-,AR0_RS05135,AR0_RS05130,AR0_RS05125
>OP_AR0_RS05150,+,AR0_RS05150,AR0_RS05155,AR0_RS05160,AR0_RS05165
>OP_AR0_RS05175,+,AR0_RS05175,AR0_RS05180
>OP_AR0_RS05200,+,AR0_RS05200,AR0_RS05205
>OP_AR0_RS05215,-,AR0_RS05215,AR0_RS05210
>OP_AR0_RS05235,+,AR0_RS05235,AR0_RS05240
>OP_AR0_RS05265,+,AR0_RS05265,AR0_RS05270,AR0_RS05275
>OP_AR0_RS05310,-,AR0_RS05310,AR0_RS05305
>OP_AR0_RS05320,+,AR0_RS05320,AR0_RS05325
>OP_AR0_RS05330,+,AR0_RS05330,AR0_RS05335,AR0_RS05340
>OP_AR0_RS05355,+,AR0_RS05355,AR0_RS05360
>OP_AR0_RS05395,-,AR0_RS05395,AR0_RS05390,AR0_RS05385,AR0_RS05380
>OP_AR0_RS05425,-,AR0_RS05425,AR0_RS05420
>OP_AR0_RS05435,+,AR0_RS05435,AR0_RS05440,AR0_RS05445
>OP_AR0_RS05480,-,AR0_RS05480,AR0_RS05475
>OP_AR0_RS05505,-,AR0_RS05505,AR0_RS05500
>OP_AR0_RS05530,+,AR0_RS05530,AR0_RS15185,AR0_RS05535
>OP_AR0_RS05560,-,AR0_RS05560,AR0_RS05555
>OP_AR0_RS05590,+,AR0_RS05590,AR0_RS05595
>OP_AR0_RS05615,+,AR0_RS05615,AR0_RS05620
>OP_AR0_RS05640,-,AR0_RS05640,AR0_RS05635
>OP_AR0_RS05645,+,AR0_RS05645,AR0_RS05650
>OP_AR0_RS05655,+,AR0_RS05655,AR0_RS05660
>OP_AR0_RS05700,-,AR0_RS05700,AR0_RS05695,AR0_RS05690,AR0_RS05685
>OP_AR0_RS05720,-,AR0_RS05720,AR0_RS05715,AR0_RS05710
>OP_AR0_RS05735,-,AR0_RS05735,AR0_RS05730
>OP_AR0_RS05740,+,AR0_RS05740,AR0_RS05745,AR0_RS05750,AR0_RS05755,AR0_RS05760,AR0_RS05765
>OP_AR0_RS05775,-,AR0_RS05775,AR0_RS05770
>OP_AR0_RS05795,+,AR0_RS05795,AR0_RS05800,AR0_RS05805
>OP_AR0_RS05820,-,AR0_RS05820,AR0_RS05815,AR0_RS05810
>OP_AR0_RS05835,-,AR0_RS05835,AR0_RS05830
>OP_AR0_RS05845,+,AR0_RS05845,AR0_RS05850,AR0_RS05855
>OP_AR0_RS05860,+,AR0_RS05860,AR0_RS05865
>OP_AR0_RS05890,-,AR0_RS05890,AR0_RS05885,AR0_RS05880
>OP_AR0_RS05900,+,AR0_RS05900,AR0_RS05905,AR0_RS05910,AR0_RS05915
>OP_AR0_RS05955,+,AR0_RS05955,AR0_RS05960
>OP_AR0_RS05975,-,AR0_RS05975,AR0_RS05970,AR0_RS05965
>OP_AR0_RS05980,+,AR0_RS05980,AR0_RS05985
>OP_AR0_RS06010,-,AR0_RS06010,AR0_RS06005
>OP_AR0_RS06015,+,AR0_RS06015,AR0_RS06020
>OP_AR0_RS06035,+,AR0_RS06035,AR0_RS06040
>OP_AR0_RS06060,+,AR0_RS06060,AR0_RS06065
>OP_AR0_RS06085,-,AR0_RS06085,AR0_RS06080
>OP_AR0_RS06095,-,AR0_RS06095,AR0_RS06090
>OP_AR0_RS06105,-,AR0_RS06105,AR0_RS06100
>OP_AR0_RS06135,-,AR0_RS06135,AR0_RS06130
>OP_AR0_RS06140,+,AR0_RS06140,AR0_RS06145,AR0_RS06150,AR0_RS06155
>OP_AR0_RS06165,+,AR0_RS06165,AR0_RS06170,AR0_RS06175,AR0_RS06180
>OP_AR0_RS06245,+,AR0_RS06245,AR0_RS06250
>OP_AR0_RS06275,+,AR0_RS06275,AR0_RS06280
>OP_AR0_RS06310,-,AR0_RS06310,AR0_RS06305,AR0_RS06300,AR0_RS06295,AR0_RS06290
>OP_AR0_RS06330,-,AR0_RS06330,AR0_RS06325
>OP_AR0_RS06340,-,AR0_RS06340,AR0_RS06335
>OP_AR0_RS06355,+,AR0_RS06355,AR0_RS06360,AR0_RS06365
>OP_AR0_RS06370,+,AR0_RS06370,AR0_RS06375
>OP_AR0_RS06395,+,AR0_RS06395,AR0_RS06400,AR0_RS06405
>OP_AR0_RS06415,+,AR0_RS06415,AR0_RS06420,AR0_RS06425
>OP_AR0_RS06430,+,AR0_RS06430,AR0_RS06435,AR0_RS06440
>OP_AR0_RS06460,+,AR0_RS06460,AR0_RS06465,AR0_RS06470,AR0_RS06475
>OP_AR0_RS06485,-,AR0_RS06485,AR0_RS06480
>OP_AR0_RS06500,+,AR0_RS06500,AR0_RS06505
>OP_AR0_RS06510,+,AR0_RS06510,AR0_RS06515,AR0_RS06520
>OP_AR0_RS06535,-,AR0_RS06535,AR0_RS06530
>OP_AR0_RS06550,-,AR0_RS06550,AR0_RS06545
>OP_AR0_RS06560,+,AR0_RS06560,AR0_RS06565
>OP_AR0_RS06590,+,AR0_RS06590,AR0_RS06595
>OP_AR0_RS06620,+,AR0_RS06620,AR0_RS06625
>OP_AR0_RS06630,+,AR0_RS06630,AR0_RS06635,AR0_RS06640
>OP_AR0_RS06700,-,AR0_RS06700,AR0_RS15205
>OP_AR0_RS06710,-,AR0_RS06710,AR0_RS06705
>OP_AR0_RS06715,+,AR0_RS06715,AR0_RS06720
>OP_AR0_RS06735,+,AR0_RS06735,AR0_RS06740,AR0_RS06745
>OP_AR0_RS06755,+,AR0_RS06755,AR0_RS06760
>OP_AR0_RS06775,+,AR0_RS06775,AR0_RS06780
>OP_AR0_RS06790,+,AR0_RS06790,AR0_RS06795,AR0_RS06800,AR0_RS06805
>OP_AR0_RS06825,-,AR0_RS06825,AR0_RS06820
>OP_AR0_RS06840,-,AR0_RS06840,AR0_RS06835
>OP_AR0_RS06920,-,AR0_RS06920,AR0_RS06915
>OP_AR0_RS06935,-,AR0_RS06935,AR0_RS06930
>OP_AR0_RS06950,+,AR0_RS06950,AR0_RS06955
>OP_AR0_RS06970,+,AR0_RS06970,AR0_RS06975,AR0_RS06980
>OP_AR0_RS06990,+,AR0_RS06990,AR0_RS06995
>OP_AR0_RS07000,+,AR0_RS07000,AR0_RS07005,AR0_RS07010,AR0_RS07015,AR0_RS07020
>OP_AR0_RS07035,-,AR0_RS07035,AR0_RS07030,AR0_RS07025
>OP_AR0_RS07055,+,AR0_RS07055,AR0_RS07060
>OP_AR0_RS07075,-,AR0_RS07075,AR0_RS07070
>OP_AR0_RS07080,+,AR0_RS07080,AR0_RS07085
>OP_AR0_RS07095,-,AR0_RS07095,AR0_RS07090,AR0_RS15230
>OP_AR0_RS15235,-,AR0_RS15235,AR0_RS07100
>OP_AR0_RS07130,-,AR0_RS07130,AR0_RS07125
>OP_AR0_RS07160,+,AR0_RS07160,AR0_RS07165
>OP_AR0_RS07175,-,AR0_RS07175,AR0_RS07170
>OP_AR0_RS07185,+,AR0_RS07185,AR0_RS07190
>OP_AR0_RS07205,-,AR0_RS07205,AR0_RS07200
>OP_AR0_RS07225,-,AR0_RS07225,AR0_RS07220,AR0_RS07215,AR0_RS07210
>OP_AR0_RS07285,+,AR0_RS07285,AR0_RS07290
>OP_AR0_RS07305,+,AR0_RS07305,AR0_RS07310
>OP_AR0_RS07315,+,AR0_RS07315,AR0_RS07320
>OP_AR0_RS07335,+,AR0_RS07335,AR0_RS07340
>OP_AR0_RS07345,+,AR0_RS07345,AR0_RS07350,AR0_RS07355
>OP_AR0_RS07365,+,AR0_RS07365,AR0_RS07370,AR0_RS07375,AR0_RS07380,AR0_RS07385
>OP_AR0_RS07400,+,AR0_RS07400,AR0_RS07405,AR0_RS07410,AR0_RS07415,AR0_RS07420
>OP_AR0_RS07445,+,AR0_RS07445,AR0_RS07450,AR0_RS07455,AR0_RS07460,AR0_RS07465
>OP_AR0_RS07475,+,AR0_RS07475,AR0_RS07480
>OP_AR0_RS07485,+,AR0_RS07485,AR0_RS07490,AR0_RS07495
>OP_AR0_RS07520,+,AR0_RS07520,AR0_RS07525
>OP_AR0_RS07530,+,AR0_RS07530,AR0_RS07535,AR0_RS07540
>OP_AR0_RS07555,-,AR0_RS07555,AR0_RS07550
>OP_AR0_RS07560,+,AR0_RS07560,AR0_RS07565,AR0_RS07570
>OP_AR0_RS07595,-,AR0_RS07595,AR0_RS07590
>OP_AR0_RS07610,+,AR0_RS07610,AR0_RS07615
>OP_AR0_RS07645,-,AR0_RS07645,AR0_RS07640,AR0_RS07635
>OP_AR0_RS07665,+,AR0_RS07665,AR0_RS07670,AR0_RS07675,AR0_RS07680
>OP_AR0_RS07710,-,AR0_RS07710,AR0_RS07705,AR0_RS07700,AR0_RS07695,AR0_RS07690,AR0_RS07685
>OP_AR0_RS07720,-,AR0_RS07720,AR0_RS07715
>OP_AR0_RS07785,-,AR0_RS07785,AR0_RS07780,AR0_RS07775
>OP_AR0_RS07805,-,AR0_RS07805,AR0_RS07800,AR0_RS07795
>OP_AR0_RS07835,-,AR0_RS07835,AR0_RS07830
>OP_AR0_RS07850,-,AR0_RS07850,AR0_RS07845
>OP_AR0_RS07875,-,AR0_RS07875,AR0_RS07870,AR0_RS07865,AR0_RS07860
>OP_AR0_RS07895,-,AR0_RS07895,AR0_RS07890,AR0_RS07885,AR0_RS07880
>OP_AR0_RS07925,-,AR0_RS07925,AR0_RS07920
>OP_AR0_RS15250,-,AR0_RS15250,AR0_RS07945
>OP_AR0_RS07950,+,AR0_RS07950,AR0_RS07955
>OP_AR0_RS07970,-,AR0_RS07970,AR0_RS07965
>OP_AR0_RS07985,+,AR0_RS07985,AR0_RS07990
>OP_AR0_RS08015,-,AR0_RS08015,AR0_RS08010,AR0_RS08005,AR0_RS08000
>OP_AR0_RS08045,-,AR0_RS08045,AR0_RS08040,AR0_RS08035
>OP_AR0_RS08100,+,AR0_RS08100,AR0_RS08105
>OP_AR0_RS08115,-,AR0_RS08115,AR0_RS08110
>OP_AR0_RS08120,+,AR0_RS08120,AR0_RS08125
>OP_AR0_RS08145,-,AR0_RS08145,AR0_RS08140
>OP_AR0_RS08185,-,AR0_RS08185,AR0_RS08180,AR0_RS08175,AR0_RS08170
>OP_AR0_RS08200,-,AR0_RS08200,AR0_RS08195,AR0_RS08190
>OP_AR0_RS08205,+,AR0_RS08205,AR0_RS08210,AR0_RS08215
>OP_AR0_RS08250,+,AR0_RS08250,AR0_RS08255,AR0_RS08260
>OP_AR0_RS08275,-,AR0_RS08275,AR0_RS08270,AR0_RS08265
>OP_AR0_RS08325,-,AR0_RS08325,AR0_RS08320,AR0_RS08315,AR0_RS08310,AR0_RS08305
>OP_AR0_RS08355,-,AR0_RS08355,AR0_RS08350,AR0_RS08345,AR0_RS08340,AR0_RS08335,AR0_RS08330
>OP_AR0_RS08365,-,AR0_RS08365,AR0_RS08360
>OP_AR0_RS08375,-,AR0_RS08375,AR0_RS08370
>OP_AR0_RS08395,-,AR0_RS08395,AR0_RS08390
>OP_AR0_RS08410,-,AR0_RS08410,AR0_RS08405,AR0_RS08400
>OP_AR0_RS08425,-,AR0_RS08425,AR0_RS08420
>OP_AR0_RS08435,+,AR0_RS08435,AR0_RS08440,AR0_RS08445
>OP_AR0_RS08475,-,AR0_RS08475,AR0_RS08470
>OP_AR0_RS08485,-,AR0_RS08485,AR0_RS08480
>OP_AR0_RS08490,+,AR0_RS08490,AR0_RS08495,AR0_RS08500
>OP_AR0_RS08515,-,AR0_RS08515,AR0_RS08510,AR0_RS08505
>OP_AR0_RS08555,-,AR0_RS08555,AR0_RS08550,AR0_RS08545
>OP_AR0_RS08560,+,AR0_RS08560,AR0_RS08565
>OP_AR0_RS08570,+,AR0_RS08570,AR0_RS08575
>OP_AR0_RS08595,-,AR0_RS08595,AR0_RS08590,AR0_RS08585
