Operon,Orientation,Genes
>OP_CpT1_RS03495,-,CpT1_RS03495,CpT1_RS03490
>OP_CpT1_RS03550,+,CpT1_RS03550,CpT1_RS03555
>OP_CpT1_RS03585,-,CpT1_RS03585,CpT1_RS03580
>OP_CpT1_RS03605,+,CpT1_RS03605,CpT1_RS03610
>OP_CpT1_RS03660,-,CpT1_RS03660,CpT1_RS03655
>OP_CpT1_RS03715,-,CpT1_RS03715,CpT1_RS10620
>OP_CpT1_RS03730,-,CpT1_RS03730,CpT1_RS03725
>OP_CpT1_RS03755,+,CpT1_RS03755,CpT1_RS03760,CpT1_RS03765,CpT1_RS03770
>OP_CpT1_RS03780,+,CpT1_RS03780,CpT1_RS03785,CpT1_RS03790
>OP_CpT1_RS03810,-,CpT1_RS03810,CpT1_RS03805,CpT1_RS03800,CpT1_RS03795
>OP_CpT1_RS03820,+,CpT1_RS03820,CpT1_RS03825,CpT1_RS03830,CpT1_RS03835,CpT1_RS03840
>OP_CpT1_RS03865,-,CpT1_RS03865,CpT1_RS03860
>OP_CpT1_RS03875,+,CpT1_RS03875,CpT1_RS03880,CpT1_RS03885,CpT1_RS03890,CpT1_RS03895
>OP_CpT1_RS03900,+,CpT1_RS03900,CpT1_RS03905
>OP_CpT1_RS03920,-,CpT1_RS03920,CpT1_RS03915,CpT1_RS03910
>OP_CpT1_RS03935,+,CpT1_RS03935,CpT1_RS03940,CpT1_RS03945
>OP_CpT1_RS03960,-,CpT1_RS03960,CpT1_RS03955,CpT1_RS03950
>OP_CpT1_RS03980,-,CpT1_RS03980,CpT1_RS03975
>OP_CpT1_RS03990,+,CpT1_RS03990,CpT1_RS03995,CpT1_RS04000
>OP_CpT1_RS04005,+,CpT1_RS04005,CpT1_RS04010,CpT1_RS04015,CpT1_RS04020,CpT1_RS04025
>OP_CpT1_RS04035,+,CpT1_RS04035,CpT1_RS04040
>OP_CpT1_RS04055,-,CpT1_RS04055,CpT1_RS04050,CpT1_RS04045
>OP_CpT1_RS04060,+,CpT1_RS04060,CpT1_RS04065,CpT1_RS04070,CpT1_RS04075
>OP_CpT1_RS04125,-,CpT1_RS04125,CpT1_RS04120,CpT1_RS04115
>OP_CpT1_RS04130,+,CpT1_RS04130,CpT1_RS04135,CpT1_RS04140
>OP_CpT1_RS04145,+,CpT1_RS04145,CpT1_RS04150
>OP_CpT1_RS04165,+,CpT1_RS04165,CpT1_RS04170,CpT1_RS04175
>OP_CpT1_RS04180,+,CpT1_RS04180,CpT1_RS04185
>OP_CpT1_RS04200,+,CpT1_RS04200,CpT1_RS04205,CpT1_RS04210
>OP_CpT1_RS04220,+,CpT1_RS04220,CpT1_RS04225,CpT1_RS04230
>OP_CpT1_RS04235,+,CpT1_RS04235,CpT1_RS04240,CpT1_RS10630
>OP_CpT1_RS04265,-,CpT1_RS04265,CpT1_RS04260
>OP_CpT1_RS04275,+,CpT1_RS04275,CpT1_RS04280
>OP_CpT1_RS04285,+,CpT1_RS04285,CpT1_RS04290
>OP_CpT1_RS04305,+,CpT1_RS04305,CpT1_RS04310
>OP_CpT1_RS04330,+,CpT1_RS04330,CpT1_RS04335
>OP_CpT1_RS04355,+,CpT1_RS04355,CpT1_RS04360,CpT1_RS04365
>OP_CpT1_RS04415,-,CpT1_RS04415,CpT1_RS04410
>OP_CpT1_RS04420,+,CpT1_RS04420,CpT1_RS04425
>OP_CpT1_RS04440,+,CpT1_RS04440,CpT1_RS04445
>OP_CpT1_RS04460,+,CpT1_RS04460,CpT1_RS04465
>OP_CpT1_RS04530,+,CpT1_RS04530,CpT1_RS04535
>OP_CpT1_RS04545,+,CpT1_RS04545,CpT1_RS04550
>OP_CpT1_RS04565,+,CpT1_RS04565,CpT1_RS04570,CpT1_RS04575
>OP_CpT1_RS04580,+,CpT1_RS04580,CpT1_RS04585,CpT1_RS04590
>OP_CpT1_RS10635,+,CpT1_RS10635,CpT1_RS04605
>OP_CpT1_RS04620,-,CpT1_RS04620,CpT1_RS04615,CpT1_RS04610
>OP_CpT1_RS04660,+,CpT1_RS04660,CpT1_RS04665
>OP_CpT1_RS04695,+,CpT1_RS04695,CpT1_RS04700
>OP_CpT1_RS04720,+,CpT1_RS04720,CpT1_RS04725
>OP_CpT1_RS04740,+,CpT1_RS04740,CpT1_RS04745,CpT1_RS04750
>OP_CpT1_RS04760,+,CpT1_RS04760,CpT1_RS04765
>OP_CpT1_RS04770,+,CpT1_RS04770,CpT1_RS04775
>OP_CpT1_RS04800,+,CpT1_RS04800,CpT1_RS04805
>OP_CpT1_RS04810,+,CpT1_RS04810,CpT1_RS04815
>OP_CpT1_RS04825,+,CpT1_RS04825,CpT1_RS04830,CpT1_RS04835,CpT1_RS04840
>OP_CpT1_RS04845,+,CpT1_RS04845,CpT1_RS04850
>OP_CpT1_RS04865,+,CpT1_RS04865,CpT1_RS04870
>OP_CpT1_RS04880,+,CpT1_RS04880,CpT1_RS04885,CpT1_RS04890
>OP_CpT1_RS04905,+,CpT1_RS04905,CpT1_RS04910
>OP_CpT1_RS04920,+,CpT1_RS04920,CpT1_RS04925,CpT1_RS04930,CpT1_RS04935,CpT1_RS04940
>OP_CpT1_RS04960,-,CpT1_RS04960,CpT1_RS10650
>OP_CpT1_RS04975,+,CpT1_RS04975,CpT1_RS04980
>OP_CpT1_RS05010,-,CpT1_RS05010,CpT1_RS05005,CpT1_RS05000,CpT1_RS04995,CpT1_RS04990
>OP_CpT1_RS05055,-,CpT1_RS05055,CpT1_RS05050,CpT1_RS10655
>OP_CpT1_RS05070,-,CpT1_RS05070,CpT1_RS05065
>OP_CpT1_RS05085,+,CpT1_RS05085,CpT1_RS05090,CpT1_RS05095
>OP_CpT1_RS05130,-,CpT1_RS05130,CpT1_RS05125,CpT1_RS05120,CpT1_RS05115,CpT1_RS05110,CpT1_RS05105,CpT1_RS05100
>OP_CpT1_RS05155,-,CpT1_RS05155,CpT1_RS05150,CpT1_RS05145,CpT1_RS05140,CpT1_RS05135
>OP_CpT1_RS05165,-,CpT1_RS05165,CpT1_RS05160
>OP_CpT1_RS05175,-,CpT1_RS05175,CpT1_RS05170
>OP_CpT1_RS05215,-,CpT1_RS05215,CpT1_RS05210,CpT1_RS05205
>OP_CpT1_RS05245,+,CpT1_RS05245,CpT1_RS05250
>OP_CpT1_RS05265,-,CpT1_RS05265,CpT1_RS05260
>OP_CpT1_RS05280,-,CpT1_RS05280,CpT1_RS05275,CpT1_RS05270
>OP_CpT1_RS10660,+,CpT1_RS10660,CpT1_RS05290,CpT1_RS05295,CpT1_RS05300
>OP_CpT1_RS05315,-,CpT1_RS05315,CpT1_RS05310
>OP_CpT1_RS05335,-,CpT1_RS05335,CpT1_RS05330
>OP_CpT1_RS05380,+,CpT1_RS05380,CpT1_RS05385
>OP_CpT1_RS05425,-,CpT1_RS05425,CpT1_RS05420,CpT1_RS05415,CpT1_RS05410
>OP_CpT1_RS05440,-,CpT1_RS05440,CpT1_RS05435,CpT1_RS05430
>OP_CpT1_RS05445,+,CpT1_RS05445,CpT1_RS05450,CpT1_RS05455
>OP_CpT1_RS05485,+,CpT1_RS05485,CpT1_RS05490
>OP_CpT1_RS05530,-,CpT1_RS05530,CpT1_RS05525
>OP_CpT1_RS05540,-,CpT1_RS05540,CpT1_RS05535
>OP_CpT1_RS05555,-,CpT1_RS05555,CpT1_RS05550,CpT1_RS05545
>OP_CpT1_RS05565,-,CpT1_RS05565,CpT1_RS05560
>OP_CpT1_RS05580,-,CpT1_RS05580,CpT1_RS05575,CpT1_RS05570
>OP_CpT1_RS05610,-,CpT1_RS05610,CpT1_RS05605
>OP_CpT1_RS05625,-,CpT1_RS05625,CpT1_RS05620,CpT1_RS05615
>OP_CpT1_RS05640,-,CpT1_RS05640,CpT1_RS05635,CpT1_RS05630
>OP_CpT1_RS05645,+,CpT1_RS05645,CpT1_RS05650,CpT1_RS05655
>OP_CpT1_RS05665,-,CpT1_RS05665,CpT1_RS05660
>OP_CpT1_RS05680,-,CpT1_RS05680,CpT1_RS05675
>OP_CpT1_RS05695,-,CpT1_RS05695,CpT1_RS05690,CpT1_RS05685
>OP_CpT1_RS05710,-,CpT1_RS05710,CpT1_RS05705
>OP_CpT1_RS05750,-,CpT1_RS05750,CpT1_RS05745,CpT1_RS05740
>OP_CpT1_RS05755,+,CpT1_RS05755,CpT1_RS05760
>OP_CpT1_RS05830,-,CpT1_RS05830,CpT1_RS05825
>OP_CpT1_RS05845,-,CpT1_RS05845,CpT1_RS05840,CpT1_RS05835
>OP_CpT1_RS05885,-,CpT1_RS05885,CpT1_RS05880
>OP_CpT1_RS05900,-,CpT1_RS05900,CpT1_RS05895,CpT1_RS05890
>OP_CpT1_RS05920,-,CpT1_RS05920,CpT1_RS05915
>OP_CpT1_RS05950,+,CpT1_RS05950,CpT1_RS05955
>OP_CpT1_RS05970,+,CpT1_RS05970,CpT1_RS05975
>OP_CpT1_RS05995,-,CpT1_RS05995,CpT1_RS05990,CpT1_RS05985
>OP_CpT1_RS06040,-,CpT1_RS06040,CpT1_RS06035
>OP_CpT1_RS06050,+,CpT1_RS06050,CpT1_RS06055
>OP_CpT1_RS06065,+,CpT1_RS06065,CpT1_RS06070
>OP_CpT1_RS06140,+,CpT1_RS06140,CpT1_RS06145
>OP_CpT1_RS06150,+,CpT1_RS06150,CpT1_RS10670
>OP_CpT1_RS06160,+,CpT1_RS06160,CpT1_RS06165
>OP_CpT1_RS06195,-,CpT1_RS06195,CpT1_RS06190
>OP_CpT1_RS06205,+,CpT1_RS06205,CpT1_RS06210
>OP_CpT1_RS06230,-,CpT1_RS06230,CpT1_RS06225
>OP_CpT1_RS06240,+,CpT1_RS06240,CpT1_RS06245,CpT1_RS06250
>OP_CpT1_RS06270,-,CpT1_RS06270,CpT1_RS06265
>OP_CpT1_RS06300,-,CpT1_RS06300,CpT1_RS06295
>OP_CpT1_RS06310,-,CpT1_RS06310,CpT1_RS06305
>OP_CpT1_RS06330,-,CpT1_RS06330,CpT1_RS06325
>OP_CpT1_RS06345,-,CpT1_RS06345,CpT1_RS06340
>OP_CpT1_RS06360,-,CpT1_RS06360,CpT1_RS06355
>OP_CpT1_RS06380,-,CpT1_RS06380,CpT1_RS06375
>OP_CpT1_RS06425,-,CpT1_RS06425,CpT1_RS06420,CpT1_RS06415
>OP_CpT1_RS06435,-,CpT1_RS06435,CpT1_RS06430
>OP_CpT1_RS06545,-,CpT1_RS06545,CpT1_RS06540
>OP_CpT1_RS06560,-,CpT1_RS06560,CpT1_RS06555,CpT1_RS06550
>OP_CpT1_RS06590,-,CpT1_RS06590,CpT1_RS06585
>OP_CpT1_RS06655,-,CpT1_RS06655,CpT1_RS06650,CpT1_RS06645
>OP_CpT1_RS06745,-,CpT1_RS06745,CpT1_RS06740
>OP_CpT1_RS06755,-,CpT1_RS06755,CpT1_RS06750
>OP_CpT1_RS06765,-,CpT1_RS06765,CpT1_RS06760
>OP_CpT1_RS06795,+,CpT1_RS06795,CpT1_RS06800
>OP_CpT1_RS06830,-,CpT1_RS06830,CpT1_RS06825,CpT1_RS06820
>OP_CpT1_RS06860,-,CpT1_RS06860,CpT1_RS06855
>OP_CpT1_RS06915,-,CpT1_RS06915,CpT1_RS06910,CpT1_RS10685,CpT1_RS06905
>OP_CpT1_RS06925,-,CpT1_RS06925,CpT1_RS06920
>OP_CpT1_RS06935,-,CpT1_RS06935,CpT1_RS06930
>OP_CpT1_RS06950,-,CpT1_RS06950,CpT1_RS06945,CpT1_RS06940
>OP_CpT1_RS06970,-,CpT1_RS06970,CpT1_RS06965,CpT1_RS06960
>OP_CpT1_RS07000,+,CpT1_RS07000,CpT1_RS07005
>OP_CpT1_RS07040,-,CpT1_RS07040,CpT1_RS07035
>OP_CpT1_RS07070,-,CpT1_RS07070,CpT1_RS07065,CpT1_RS07060
>OP_CpT1_RS07085,-,CpT1_RS07085,CpT1_RS07080
>OP_CpT1_RS07100,+,CpT1_RS07100,CpT1_RS07105,CpT1_RS07110
>OP_CpT1_RS07215,-,CpT1_RS07215,CpT1_RS07210,CpT1_RS07205,CpT1_RS07200,CpT1_RS07195
>OP_CpT1_RS07225,+,CpT1_RS07225,CpT1_RS07230,CpT1_RS07235,CpT1_RS07240,CpT1_RS07245,CpT1_RS07250,CpT1_RS07255,CpT1_RS07260
>OP_CpT1_RS07280,-,CpT1_RS07280,CpT1_RS07275,CpT1_RS07270
>OP_CpT1_RS07295,-,CpT1_RS07295,CpT1_RS07290
>OP_CpT1_RS07400,-,CpT1_RS07400,CpT1_RS07395
>OP_CpT1_RS07410,-,CpT1_RS07410,CpT1_RS07405
>OP_CpT1_RS07415,+,CpT1_RS07415,CpT1_RS07420,CpT1_RS07425
>OP_CpT1_RS07455,+,CpT1_RS07455,CpT1_RS07460
>OP_CpT1_RS07475,-,CpT1_RS07475,CpT1_RS07470
>OP_CpT1_RS07510,+,CpT1_RS07510,CpT1_RS07515
>OP_CpT1_RS07525,-,CpT1_RS07525,CpT1_RS07520
>OP_CpT1_RS07540,-,CpT1_RS07540,CpT1_RS07535
>OP_CpT1_RS07575,-,CpT1_RS07575,CpT1_RS07570,CpT1_RS07565,CpT1_RS07560
>OP_CpT1_RS07605,-,CpT1_RS07605,CpT1_RS07600,CpT1_RS07595,CpT1_RS07590,CpT1_RS07585
>OP_CpT1_RS07620,-,CpT1_RS07620,CpT1_RS07615
>OP_CpT1_RS07640,-,CpT1_RS07640,CpT1_RS07635
>OP_CpT1_RS07655,-,CpT1_RS07655,CpT1_RS07650
>OP_CpT1_RS07665,-,CpT1_RS07665,CpT1_RS07660
>OP_CpT1_RS07680,+,CpT1_RS07680,CpT1_RS07685
>OP_CpT1_RS07705,-,CpT1_RS07705,CpT1_RS07700,CpT1_RS07695
>OP_CpT1_RS07710,+,CpT1_RS07710,CpT1_RS07715,CpT1_RS07720,CpT1_RS07725
>OP_CpT1_RS07775,-,CpT1_RS07775,CpT1_RS07770,CpT1_RS07765,CpT1_RS07760,CpT1_RS07755,CpT1_RS07750
>OP_CpT1_RS07820,-,CpT1_RS07820,CpT1_RS07815,CpT1_RS07810,CpT1_RS07805,CpT1_RS07800
>OP_CpT1_RS07835,-,CpT1_RS07835,CpT1_RS07830,CpT1_RS07825
>OP_CpT1_RS07845,-,CpT1_RS07845,CpT1_RS07840
>OP_CpT1_RS07880,-,CpT1_RS07880,CpT1_RS07875
>OP_CpT1_RS07915,-,CpT1_RS07915,CpT1_RS07910,CpT1_RS07905
>OP_CpT1_RS07945,-,CpT1_RS07945,CpT1_RS07940
>OP_CpT1_RS07990,+,CpT1_RS07990,CpT1_RS07995
>OP_CpT1_RS08000,+,CpT1_RS08000,CpT1_RS08005,CpT1_RS08010
>OP_CpT1_RS08020,-,CpT1_RS08020,CpT1_RS08015
>OP_CpT1_RS08035,+,CpT1_RS08035,CpT1_RS08040,CpT1_RS08045,CpT1_RS08050,CpT1_RS08055,CpT1_RS08060,CpT1_RS10715
>OP_CpT1_RS08075,-,CpT1_RS08075,CpT1_RS08070
>OP_CpT1_RS08085,+,CpT1_RS08085,CpT1_RS10720
>OP_CpT1_RS08160,+,CpT1_RS08160,CpT1_RS08165
>OP_CpT1_RS08185,+,CpT1_RS08185,CpT1_RS08190,CpT1_RS08195
>OP_CpT1_RS08240,-,CpT1_RS08240,CpT1_RS08235,CpT1_RS08230
>OP_CpT1_RS08270,+,CpT1_RS08270,CpT1_RS08275
>OP_CpT1_RS08360,+,CpT1_RS08360,CpT1_RS08365
>OP_CpT1_RS10735,-,CpT1_RS10735,CpT1_RS08390
>OP_CpT1_RS08415,+,CpT1_RS08415,CpT1_RS08420
>OP_CpT1_RS08430,-,CpT1_RS08430,CpT1_RS08425
>OP_CpT1_RS08515,+,CpT1_RS08515,CpT1_RS08520,CpT1_RS08525,CpT1_RS08530
>OP_CpT1_RS08540,+,CpT1_RS08540,CpT1_RS08545
