Operon,Orientation,Genes
>OP_CCHOA_RS09415,-,CCHOA_RS09415,CCHOA_RS09410
>OP_CCHOA_RS05685,-,CCHOA_RS05685,CCHOA_RS05680
>OP_CCHOA_RS10455,-,CCHOA_RS10455,CCHOA_RS10450
>OP_CCHOA_RS04920,+,CCHOA_RS04920,CCHOA_RS04925,CCHOA_RS04930
>OP_CCHOA_RS06920,-,CCHOA_RS06920,CCHOA_RS06915
>OP_CCHOA_RS00395,+,CCHOA_RS00395,CCHOA_RS00400
>OP_CCHOA_RS06285,+,CCHOA_RS06285,CCHOA_RS06290
>OP_CCHOA_RS08170,+,CCHOA_RS08170,CCHOA_RS08175
>OP_CCHOA_RS00935,-,CCHOA_RS00935,CCHOA_RS00930
>OP_CCHOA_RS07145,-,CCHOA_RS07145,CCHOA_RS07140,CCHOA_RS07135
>OP_CCHOA_RS08785,+,CCHOA_RS08785,CCHOA_RS08790
>OP_CCHOA_RS03165,+,CCHOA_RS03165,CCHOA_RS03170
>OP_CCHOA_RS09845,+,CCHOA_RS09845,CCHOA_RS09850,CCHOA_RS09855,CCHOA_RS09860
>OP_CCHOA_RS02315,+,CCHOA_RS02315,CCHOA_RS02320
>OP_CCHOA_RS02880,+,CCHOA_RS02880,CCHOA_RS02885
>OP_CCHOA_RS02350,+,CCHOA_RS02350,CCHOA_RS02355
>OP_CCHOA_RS09115,-,CCHOA_RS09115,CCHOA_RS09110
>OP_CCHOA_RS08290,+,CCHOA_RS08290,CCHOA_RS08295
>OP_CCHOA_RS10340,-,CCHOA_RS10340,CCHOA_RS10335,CCHOA_RS10330
>OP_CCHOA_RS05205,-,CCHOA_RS05205,CCHOA_RS05200
>OP_CCHOA_RS03230,+,CCHOA_RS03230,CCHOA_RS03235
>OP_CCHOA_RS01340,-,CCHOA_RS01340,CCHOA_RS01335,CCHOA_RS01330,CCHOA_RS01325
>OP_CCHOA_RS03175,+,CCHOA_RS03175,CCHOA_RS03180
>OP_CCHOA_RS08825,-,CCHOA_RS08825,CCHOA_RS08820
>OP_CCHOA_RS00315,-,CCHOA_RS00315,CCHOA_RS00310
>OP_CCHOA_RS00015,+,CCHOA_RS00015,CCHOA_RS00020
>OP_CCHOA_RS01180,-,CCHOA_RS01180,CCHOA_RS01175
>OP_CCHOA_RS07630,+,CCHOA_RS07630,CCHOA_RS07635
>OP_CCHOA_RS08890,+,CCHOA_RS08890,CCHOA_RS08895
>OP_CCHOA_RS08485,-,CCHOA_RS08485,CCHOA_RS08480
>OP_CCHOA_RS04160,+,CCHOA_RS04160,CCHOA_RS04165
>OP_CCHOA_RS06345,-,CCHOA_RS06345,CCHOA_RS06340
>OP_CCHOA_RS05470,-,CCHOA_RS05470,CCHOA_RS05465
>OP_CCHOA_RS09265,+,CCHOA_RS09265,CCHOA_RS09270
>OP_CCHOA_RS02405,+,CCHOA_RS02405,CCHOA_RS02410
>OP_CCHOA_RS05875,-,CCHOA_RS05875,CCHOA_RS05870
>OP_CCHOA_RS05645,-,CCHOA_RS05645,CCHOA_RS05640
>OP_CCHOA_RS07425,-,CCHOA_RS07425,CCHOA_RS07420
>OP_CCHOA_RS10175,+,CCHOA_RS10175,CCHOA_RS10180
>OP_CCHOA_RS03510,+,CCHOA_RS03510,CCHOA_RS03515
>OP_CCHOA_RS03195,+,CCHOA_RS03195,CCHOA_RS03200,CCHOA_RS03205
>OP_CCHOA_RS08560,-,CCHOA_RS08560,CCHOA_RS08555
>OP_CCHOA_RS00190,-,CCHOA_RS00190,CCHOA_RS00185
>OP_CCHOA_RS03785,-,CCHOA_RS03785,CCHOA_RS03780,CCHOA_RS03775
>OP_CCHOA_RS06955,-,CCHOA_RS06955,CCHOA_RS06950
>OP_CCHOA_RS01750,+,CCHOA_RS01750,CCHOA_RS01755
>OP_CCHOA_RS03045,-,CCHOA_RS03045,CCHOA_RS03040,CCHOA_RS03035,CCHOA_RS03030
>OP_CCHOA_RS00800,-,CCHOA_RS00800,CCHOA_RS00795
>OP_CCHOA_RS05715,+,CCHOA_RS05715,CCHOA_RS05720
>OP_CCHOA_RS05820,+,CCHOA_RS05820,CCHOA_RS05825
>OP_CCHOA_RS10575,-,CCHOA_RS10575,CCHOA_RS10570
>OP_CCHOA_RS01105,-,CCHOA_RS01105,CCHOA_RS01100
>OP_CCHOA_RS06415,-,CCHOA_RS06415,CCHOA_RS06410
>OP_CCHOA_RS02210,-,CCHOA_RS02210,CCHOA_RS02205
>OP_CCHOA_RS04435,+,CCHOA_RS04435,CCHOA_RS04440
>OP_CCHOA_RS08930,+,CCHOA_RS08930,CCHOA_RS08935,CCHOA_RS08940
>OP_CCHOA_RS10200,-,CCHOA_RS10200,CCHOA_RS10195
>OP_CCHOA_RS06450,-,CCHOA_RS06450,CCHOA_RS06445
>OP_CCHOA_RS03155,-,CCHOA_RS03155,CCHOA_RS03150
>OP_CCHOA_RS06580,+,CCHOA_RS06580,CCHOA_RS06585,CCHOA_RS06590
>OP_CCHOA_RS09685,-,CCHOA_RS09685,CCHOA_RS09680
>OP_CCHOA_RS00725,+,CCHOA_RS00725,CCHOA_RS00730
>OP_CCHOA_RS06505,-,CCHOA_RS06505,CCHOA_RS06500
>OP_CCHOA_RS01710,+,CCHOA_RS01710,CCHOA_RS01715
>OP_CCHOA_RS00470,-,CCHOA_RS00470,CCHOA_RS00465
>OP_CCHOA_RS07510,-,CCHOA_RS07510,CCHOA_RS07505
>OP_CCHOA_RS01685,-,CCHOA_RS01685,CCHOA_RS01680
>OP_CCHOA_RS03745,+,CCHOA_RS03745,CCHOA_RS03750,CCHOA_RS03755
>OP_CCHOA_RS02385,-,CCHOA_RS02385,CCHOA_RS02380
>OP_CCHOA_RS00460,-,CCHOA_RS00460,CCHOA_RS00455
>OP_CCHOA_RS06380,-,CCHOA_RS06380,CCHOA_RS06375
>OP_CCHOA_RS00910,+,CCHOA_RS00910,CCHOA_RS00915
>OP_CCHOA_RS09785,-,CCHOA_RS09785,CCHOA_RS09780
>OP_CCHOA_RS05360,-,CCHOA_RS05360,CCHOA_RS05355
>OP_CCHOA_RS01770,+,CCHOA_RS01770,CCHOA_RS01775,CCHOA_RS01780
>OP_CCHOA_RS10240,-,CCHOA_RS10240,CCHOA_RS10235,CCHOA_RS10230
>OP_CCHOA_RS08725,+,CCHOA_RS08725,CCHOA_RS08730
>OP_CCHOA_RS03760,+,CCHOA_RS03760,CCHOA_RS03765
>OP_CCHOA_RS05215,-,CCHOA_RS05215,CCHOA_RS05210
>OP_CCHOA_RS09765,-,CCHOA_RS09765,CCHOA_RS09760
>OP_CCHOA_RS08255,-,CCHOA_RS08255,CCHOA_RS08250
>OP_CCHOA_RS05865,-,CCHOA_RS05865,CCHOA_RS05860
>OP_CCHOA_RS09330,-,CCHOA_RS09330,CCHOA_RS09325
>OP_CCHOA_RS09075,+,CCHOA_RS09075,CCHOA_RS09080
>OP_CCHOA_RS08360,-,CCHOA_RS08360,CCHOA_RS08355
>OP_CCHOA_RS04650,-,CCHOA_RS04650,CCHOA_RS04645
>OP_CCHOA_RS05385,-,CCHOA_RS05385,CCHOA_RS05380
>OP_CCHOA_RS08920,-,CCHOA_RS08920,CCHOA_RS08915,CCHOA_RS08910
>OP_CCHOA_RS03060,+,CCHOA_RS03060,CCHOA_RS03065
>OP_CCHOA_RS00810,+,CCHOA_RS00810,CCHOA_RS00815
>OP_CCHOA_RS01645,+,CCHOA_RS01645,CCHOA_RS01650
>OP_CCHOA_RS01185,+,CCHOA_RS01185,CCHOA_RS01190,CCHOA_RS01195
>OP_CCHOA_RS07275,-,CCHOA_RS07275,CCHOA_RS07270
>OP_CCHOA_RS00565,+,CCHOA_RS00565,CCHOA_RS00570
>OP_CCHOA_RS08750,+,CCHOA_RS08750,CCHOA_RS08755,CCHOA_RS08760
>OP_CCHOA_RS04545,+,CCHOA_RS04545,CCHOA_RS04550
>OP_CCHOA_RS06090,-,CCHOA_RS06090,CCHOA_RS06085
