Operon,Orientation,Genes
>OP_WA5_RS03480,-,WA5_RS03480,WA5_RS03475
>OP_WA5_RS03525,-,WA5_RS03525,WA5_RS03520,WA5_RS03515
>OP_WA5_RS03540,+,WA5_RS03540,WA5_RS03545,WA5_RS03550,WA5_RS03555
>OP_WA5_RS03560,+,WA5_RS03560,WA5_RS03565
>OP_WA5_RS03615,-,WA5_RS03615,WA5_RS03610,WA5_RS03605
>OP_WA5_RS03645,-,WA5_RS03645,WA5_RS03640
>OP_WA5_RS03675,-,WA5_RS03675,WA5_RS03670,WA5_RS03665,WA5_RS03660
>OP_WA5_RS03715,+,WA5_RS03715,WA5_RS03720
>OP_WA5_RS03735,+,WA5_RS03735,WA5_RS03740,WA5_RS03745
>OP_WA5_RS03750,+,WA5_RS03750,WA5_RS03755,WA5_RS03760
>OP_WA5_RS03780,+,WA5_RS03780,WA5_RS03785
>OP_WA5_RS03810,+,WA5_RS03810,WA5_RS03815
>OP_WA5_RS03835,-,WA5_RS03835,WA5_RS03830
>OP_WA5_RS03840,+,WA5_RS03840,WA5_RS03845,WA5_RS03850,WA5_RS03855,WA5_RS03860,WA5_RS03865,WA5_RS03870,WA5_RS03875
>OP_WA5_RS03920,+,WA5_RS03920,WA5_RS03925
>OP_WA5_RS03945,+,WA5_RS03945,WA5_RS03950
>OP_WA5_RS03955,+,WA5_RS03955,WA5_RS03960
>OP_WA5_RS03965,+,WA5_RS03965,WA5_RS03970,WA5_RS03975
>OP_WA5_RS03995,-,WA5_RS03995,WA5_RS03990
>OP_WA5_RS04005,+,WA5_RS04005,WA5_RS04010,WA5_RS04015,WA5_RS04020
>OP_WA5_RS04040,-,WA5_RS04040,WA5_RS04035
>OP_WA5_RS04055,+,WA5_RS04055,WA5_RS04060,WA5_RS04065,WA5_RS15550
>OP_WA5_RS04095,-,WA5_RS04095,WA5_RS04090
>OP_WA5_RS04130,-,WA5_RS04130,WA5_RS04125,WA5_RS04120
>OP_WA5_RS04135,+,WA5_RS04135,WA5_RS04140
>OP_WA5_RS04150,-,WA5_RS04150,WA5_RS04145
>OP_WA5_RS04175,+,WA5_RS04175,WA5_RS04180
>OP_WA5_RS04245,-,WA5_RS04245,WA5_RS04240,WA5_RS04235,WA5_RS04230
>OP_WA5_RS04250,+,WA5_RS04250,WA5_RS04255,WA5_RS04260
>OP_WA5_RS04275,-,WA5_RS04275,WA5_RS04270
>OP_WA5_RS04305,-,WA5_RS04305,WA5_RS04300,WA5_RS04295
>OP_WA5_RS04315,+,WA5_RS04315,WA5_RS04320,WA5_RS04325
>OP_WA5_RS04360,-,WA5_RS04360,WA5_RS04355,WA5_RS04350,WA5_RS04345
>OP_WA5_RS04375,+,WA5_RS04375,WA5_RS04380
>OP_WA5_RS04400,+,WA5_RS04400,WA5_RS15645
>OP_WA5_RS04420,+,WA5_RS04420,WA5_RS04425
>OP_WA5_RS04435,+,WA5_RS04435,WA5_RS04440
>OP_WA5_RS04445,+,WA5_RS04445,WA5_RS04450,WA5_RS04455
>OP_WA5_RS04495,-,WA5_RS04495,WA5_RS04490
>OP_WA5_RS15650,+,WA5_RS15650,WA5_RS04510
>OP_WA5_RS04535,+,WA5_RS04535,WA5_RS04540
>OP_WA5_RS04550,+,WA5_RS04550,WA5_RS04555,WA5_RS04560,WA5_RS04565,WA5_RS04570
>OP_WA5_RS04625,-,WA5_RS04625,WA5_RS04620
>OP_WA5_RS04655,+,WA5_RS04655,WA5_RS04660,WA5_RS04665,WA5_RS04670,WA5_RS04675
>OP_WA5_RS04690,+,WA5_RS04690,WA5_RS15660
>OP_WA5_RS04720,-,WA5_RS04720,WA5_RS04715,WA5_RS04710
>OP_WA5_RS04735,+,WA5_RS04735,WA5_RS04740,WA5_RS04745,WA5_RS04750
>OP_WA5_RS04760,+,WA5_RS04760,WA5_RS04765
>OP_WA5_RS15670,+,WA5_RS15670,WA5_RS04790
>OP_WA5_RS04805,+,WA5_RS04805,WA5_RS04810
>OP_WA5_RS04820,-,WA5_RS04820,WA5_RS04815
>OP_WA5_RS04840,+,WA5_RS04840,WA5_RS04845
>OP_WA5_RS04870,+,WA5_RS04870,WA5_RS04875,WA5_RS04880
>OP_WA5_RS04895,+,WA5_RS04895,WA5_RS04900
>OP_WA5_RS04925,-,WA5_RS04925,WA5_RS04920
>OP_WA5_RS04935,+,WA5_RS04935,WA5_RS04940
>OP_WA5_RS04945,+,WA5_RS04945,WA5_RS04950,WA5_RS04955
>OP_WA5_RS04970,+,WA5_RS04970,WA5_RS04975
>OP_WA5_RS05010,-,WA5_RS05010,WA5_RS05005,WA5_RS05000,WA5_RS04995
>OP_WA5_RS05040,-,WA5_RS05040,WA5_RS05035
>OP_WA5_RS05050,+,WA5_RS05050,WA5_RS05055,WA5_RS05060
>OP_WA5_RS05095,-,WA5_RS05095,WA5_RS05090
>OP_WA5_RS05120,-,WA5_RS05120,WA5_RS05115
>OP_WA5_RS05130,+,WA5_RS05130,WA5_RS05135,WA5_RS05140,WA5_RS05145
>OP_WA5_RS05165,+,WA5_RS05165,WA5_RS05170,WA5_RS05175
>OP_WA5_RS05215,+,WA5_RS05215,WA5_RS05220
>OP_WA5_RS05240,+,WA5_RS05240,WA5_RS05245
>OP_WA5_RS05265,-,WA5_RS05265,WA5_RS05260
>OP_WA5_RS05270,+,WA5_RS05270,WA5_RS05275
>OP_WA5_RS05280,+,WA5_RS05280,WA5_RS05285
>OP_WA5_RS05330,-,WA5_RS05330,WA5_RS05325,WA5_RS05320,WA5_RS05315
>OP_WA5_RS05350,-,WA5_RS05350,WA5_RS05345,WA5_RS05340
>OP_WA5_RS05365,-,WA5_RS05365,WA5_RS05360
>OP_WA5_RS05370,+,WA5_RS05370,WA5_RS05375,WA5_RS05380,WA5_RS05385,WA5_RS05390,WA5_RS05395
>OP_WA5_RS05405,-,WA5_RS05405,WA5_RS05400
>OP_WA5_RS05425,+,WA5_RS05425,WA5_RS05430,WA5_RS05435
>OP_WA5_RS05450,-,WA5_RS05450,WA5_RS05445,WA5_RS05440
>OP_WA5_RS05465,-,WA5_RS05465,WA5_RS05460
>OP_WA5_RS05475,+,WA5_RS05475,WA5_RS05480,WA5_RS05485
>OP_WA5_RS05490,+,WA5_RS05490,WA5_RS05495
>OP_WA5_RS05520,-,WA5_RS05520,WA5_RS05515,WA5_RS05510
>OP_WA5_RS05530,+,WA5_RS05530,WA5_RS05535,WA5_RS05540,WA5_RS05545
>OP_WA5_RS05585,+,WA5_RS05585,WA5_RS05590
>OP_WA5_RS05605,-,WA5_RS05605,WA5_RS05600,WA5_RS05595
>OP_WA5_RS05610,+,WA5_RS05610,WA5_RS05615
>OP_WA5_RS05640,-,WA5_RS05640,WA5_RS05635
>OP_WA5_RS05645,+,WA5_RS05645,WA5_RS05650
>OP_WA5_RS05665,+,WA5_RS05665,WA5_RS05670
>OP_WA5_RS05690,+,WA5_RS05690,WA5_RS05695
>OP_WA5_RS05715,-,WA5_RS05715,WA5_RS05710
>OP_WA5_RS05725,-,WA5_RS05725,WA5_RS05720
>OP_WA5_RS05735,-,WA5_RS05735,WA5_RS05730
>OP_WA5_RS05760,+,WA5_RS05760,WA5_RS05765,WA5_RS05770
>OP_WA5_RS05785,-,WA5_RS05785,WA5_RS05780
>OP_WA5_RS05790,+,WA5_RS05790,WA5_RS05795,WA5_RS05800,WA5_RS05805
>OP_WA5_RS05810,+,WA5_RS05810,WA5_RS05815
>OP_WA5_RS05870,+,WA5_RS05870,WA5_RS05875
>OP_WA5_RS05885,-,WA5_RS05885,WA5_RS05880
>OP_WA5_RS05890,+,WA5_RS05890,WA5_RS05895
>OP_WA5_RS05925,-,WA5_RS05925,WA5_RS05920,WA5_RS05915,WA5_RS05910,WA5_RS05905
>OP_WA5_RS05945,-,WA5_RS05945,WA5_RS05940
>OP_WA5_RS05955,-,WA5_RS05955,WA5_RS05950
>OP_WA5_RS05970,+,WA5_RS05970,WA5_RS05975,WA5_RS05980
>OP_WA5_RS05985,+,WA5_RS05985,WA5_RS05990
>OP_WA5_RS06010,+,WA5_RS06010,WA5_RS06015,WA5_RS06020
>OP_WA5_RS06030,+,WA5_RS06030,WA5_RS06035,WA5_RS06040
>OP_WA5_RS06045,+,WA5_RS06045,WA5_RS06050,WA5_RS06055
>OP_WA5_RS06075,+,WA5_RS06075,WA5_RS06080,WA5_RS06085,WA5_RS06090
>OP_WA5_RS06100,-,WA5_RS06100,WA5_RS06095
>OP_WA5_RS06110,+,WA5_RS06110,WA5_RS06115
>OP_WA5_RS06120,+,WA5_RS06120,WA5_RS06125,WA5_RS06130
>OP_WA5_RS06145,-,WA5_RS06145,WA5_RS06140
>OP_WA5_RS06160,-,WA5_RS06160,WA5_RS06155
>OP_WA5_RS06170,+,WA5_RS06170,WA5_RS06175
>OP_WA5_RS06200,+,WA5_RS06200,WA5_RS06205
>OP_WA5_RS06225,+,WA5_RS06225,WA5_RS06230
>OP_WA5_RS06235,+,WA5_RS06235,WA5_RS06240,WA5_RS06245
>OP_WA5_RS06305,-,WA5_RS06305,WA5_RS15690
>OP_WA5_RS06315,-,WA5_RS06315,WA5_RS06310
>OP_WA5_RS06320,+,WA5_RS06320,WA5_RS06325
>OP_WA5_RS06350,+,WA5_RS06350,WA5_RS06355,WA5_RS06360
>OP_WA5_RS06370,+,WA5_RS06370,WA5_RS06375
>OP_WA5_RS06390,+,WA5_RS06390,WA5_RS06395
>OP_WA5_RS06405,+,WA5_RS06405,WA5_RS06410,WA5_RS06415,WA5_RS06420
>OP_WA5_RS06440,-,WA5_RS06440,WA5_RS06435
>OP_WA5_RS06460,-,WA5_RS06460,WA5_RS06455,WA5_RS06450
>OP_WA5_RS06490,+,WA5_RS06490,WA5_RS06495
>OP_WA5_RS06530,-,WA5_RS06530,WA5_RS06525
>OP_WA5_RS06545,+,WA5_RS06545,WA5_RS06550
>OP_WA5_RS06560,+,WA5_RS06560,WA5_RS06565,WA5_RS06570
>OP_WA5_RS06580,+,WA5_RS06580,WA5_RS06585
>OP_WA5_RS06590,+,WA5_RS06590,WA5_RS06595,WA5_RS06600,WA5_RS06605,WA5_RS06610
>OP_WA5_RS06625,-,WA5_RS06625,WA5_RS06620,WA5_RS06615
>OP_WA5_RS06645,+,WA5_RS06645,WA5_RS06650
>OP_WA5_RS06660,+,WA5_RS06660,WA5_RS06665
>OP_WA5_RS15710,-,WA5_RS15710,WA5_RS06675,WA5_RS15705
>OP_WA5_RS15715,-,WA5_RS15715,WA5_RS06685
>OP_WA5_RS06715,-,WA5_RS06715,WA5_RS06710
>OP_WA5_RS06745,+,WA5_RS06745,WA5_RS06750
>OP_WA5_RS06760,-,WA5_RS06760,WA5_RS06755
>OP_WA5_RS06770,+,WA5_RS06770,WA5_RS06775
>OP_WA5_RS06790,-,WA5_RS06790,WA5_RS06785
>OP_WA5_RS06810,-,WA5_RS06810,WA5_RS06805,WA5_RS06800,WA5_RS06795
>OP_WA5_RS06870,+,WA5_RS06870,WA5_RS06875
>OP_WA5_RS06895,+,WA5_RS06895,WA5_RS06900
>OP_WA5_RS06905,+,WA5_RS06905,WA5_RS06910
>OP_WA5_RS06925,+,WA5_RS06925,WA5_RS06930
>OP_WA5_RS06935,+,WA5_RS06935,WA5_RS06940,WA5_RS06945
>OP_WA5_RS06955,+,WA5_RS06955,WA5_RS06960,WA5_RS06965,WA5_RS06970,WA5_RS06975
>OP_WA5_RS06990,+,WA5_RS06990,WA5_RS06995,WA5_RS07000,WA5_RS07005,WA5_RS07010
>OP_WA5_RS07040,+,WA5_RS07040,WA5_RS07045,WA5_RS07050,WA5_RS07055,WA5_RS07060
>OP_WA5_RS07070,+,WA5_RS07070,WA5_RS07075
>OP_WA5_RS07080,+,WA5_RS07080,WA5_RS07085,WA5_RS07090
>OP_WA5_RS07115,+,WA5_RS07115,WA5_RS07120
>OP_WA5_RS07125,+,WA5_RS07125,WA5_RS07130,WA5_RS07135
>OP_WA5_RS07150,-,WA5_RS07150,WA5_RS07145
>OP_WA5_RS07155,+,WA5_RS07155,WA5_RS07160,WA5_RS07165
>OP_WA5_RS07190,-,WA5_RS07190,WA5_RS07185
>OP_WA5_RS07205,+,WA5_RS07205,WA5_RS07210
>OP_WA5_RS07240,-,WA5_RS07240,WA5_RS07235,WA5_RS07230
>OP_WA5_RS07260,+,WA5_RS07260,WA5_RS07265,WA5_RS07270,WA5_RS07275
>OP_WA5_RS07305,-,WA5_RS07305,WA5_RS07300,WA5_RS07295,WA5_RS07290,WA5_RS07285,WA5_RS07280
>OP_WA5_RS07315,-,WA5_RS07315,WA5_RS07310
>OP_WA5_RS07380,-,WA5_RS07380,WA5_RS07375,WA5_RS07370
>OP_WA5_RS07400,-,WA5_RS07400,WA5_RS07395,WA5_RS07390
>OP_WA5_RS07425,-,WA5_RS07425,WA5_RS07420
>OP_WA5_RS07440,-,WA5_RS07440,WA5_RS07435
>OP_WA5_RS07465,-,WA5_RS07465,WA5_RS07460,WA5_RS07455,WA5_RS07450
>OP_WA5_RS07485,-,WA5_RS07485,WA5_RS07480,WA5_RS07475,WA5_RS07470
>OP_WA5_RS07515,-,WA5_RS07515,WA5_RS07510
>OP_WA5_RS15730,-,WA5_RS15730,WA5_RS07535
>OP_WA5_RS07540,+,WA5_RS07540,WA5_RS07545
>OP_WA5_RS07560,-,WA5_RS07560,WA5_RS07555
>OP_WA5_RS07575,+,WA5_RS07575,WA5_RS07580
>OP_WA5_RS07590,+,WA5_RS07590,WA5_RS07595
>OP_WA5_RS07615,-,WA5_RS07615,WA5_RS07610,WA5_RS07605,WA5_RS07600
>OP_WA5_RS07645,-,WA5_RS07645,WA5_RS07640,WA5_RS07635
>OP_WA5_RS07700,+,WA5_RS07700,WA5_RS07705
>OP_WA5_RS07715,-,WA5_RS07715,WA5_RS07710
>OP_WA5_RS07720,+,WA5_RS07720,WA5_RS07725
>OP_WA5_RS07800,-,WA5_RS07800,WA5_RS07795,WA5_RS07790,WA5_RS07785
>OP_WA5_RS07815,-,WA5_RS07815,WA5_RS07810,WA5_RS07805
>OP_WA5_RS07820,+,WA5_RS07820,WA5_RS07825,WA5_RS07830
>OP_WA5_RS07865,+,WA5_RS07865,WA5_RS07870,WA5_RS07875
>OP_WA5_RS07900,-,WA5_RS07900,WA5_RS07895,WA5_RS07890
>OP_WA5_RS07950,-,WA5_RS07950,WA5_RS07945,WA5_RS07940,WA5_RS07935,WA5_RS07930
>OP_WA5_RS07980,-,WA5_RS07980,WA5_RS07975,WA5_RS07970,WA5_RS07965,WA5_RS07960,WA5_RS07955
>OP_WA5_RS07990,-,WA5_RS07990,WA5_RS07985
>OP_WA5_RS08000,-,WA5_RS08000,WA5_RS07995
>OP_WA5_RS08020,-,WA5_RS08020,WA5_RS08015
>OP_WA5_RS08035,-,WA5_RS08035,WA5_RS08030,WA5_RS08025
>OP_WA5_RS08050,-,WA5_RS08050,WA5_RS08045
>OP_WA5_RS08060,+,WA5_RS08060,WA5_RS08065,WA5_RS08070
>OP_WA5_RS08100,-,WA5_RS08100,WA5_RS08095
>OP_WA5_RS08110,-,WA5_RS08110,WA5_RS08105
>OP_WA5_RS08115,+,WA5_RS08115,WA5_RS08120,WA5_RS08125
>OP_WA5_RS08140,-,WA5_RS08140,WA5_RS08135,WA5_RS08130
>OP_WA5_RS08180,-,WA5_RS08180,WA5_RS08175,WA5_RS08170
>OP_WA5_RS08185,+,WA5_RS08185,WA5_RS08190
>OP_WA5_RS08195,+,WA5_RS08195,WA5_RS08205
>OP_WA5_RS08225,-,WA5_RS08225,WA5_RS08220,WA5_RS08215
>OP_WA5_RS08255,-,WA5_RS08255,WA5_RS08250,WA5_RS08245
>OP_WA5_RS08265,-,WA5_RS08265,WA5_RS08260
>OP_WA5_RS08285,-,WA5_RS08285,WA5_RS08280,WA5_RS08275,WA5_RS08270
>OP_WA5_RS08325,-,WA5_RS08325,WA5_RS08320,WA5_RS08315,WA5_RS08310,WA5_RS08305
>OP_WA5_RS08345,-,WA5_RS08345,WA5_RS08340,WA5_RS08335
>OP_WA5_RS08390,-,WA5_RS08390,WA5_RS08385
