Operon,Orientation,Genes
>OP_CAQU_RS09535,-,CAQU_RS09535,CAQU_RS09530,CAQU_RS09525
>OP_CAQU_RS07695,-,CAQU_RS07695,CAQU_RS07690
>OP_CAQU_RS04365,-,CAQU_RS04365,CAQU_RS04360
>OP_CAQU_RS10660,-,CAQU_RS10660,CAQU_RS10655
>OP_CAQU_RS00310,-,CAQU_RS00310,CAQU_RS00305
>OP_CAQU_RS04565,+,CAQU_RS04565,CAQU_RS04570
>OP_CAQU_RS01935,+,CAQU_RS01935,CAQU_RS01940,CAQU_RS01945,CAQU_RS01950,CAQU_RS01955,CAQU_RS01960
>OP_CAQU_RS10915,-,CAQU_RS10915,CAQU_RS10910,CAQU_RS10905
>OP_CAQU_RS11350,+,CAQU_RS11350,CAQU_RS11355
>OP_CAQU_RS05000,+,CAQU_RS05000,CAQU_RS05005
>OP_CAQU_RS03655,-,CAQU_RS03655,CAQU_RS03650
>OP_CAQU_RS05170,+,CAQU_RS05170,CAQU_RS05175
>OP_CAQU_RS01415,-,CAQU_RS01415,CAQU_RS01410
>OP_CAQU_RS09125,-,CAQU_RS09125,CAQU_RS09120
>OP_CAQU_RS05380,+,CAQU_RS05380,CAQU_RS05385
>OP_CAQU_RS00840,+,CAQU_RS00840,CAQU_RS00845
>OP_CAQU_RS10380,-,CAQU_RS10380,CAQU_RS10375
>OP_CAQU_RS11500,+,CAQU_RS11500,CAQU_RS11505,CAQU_RS11510,CAQU_RS11515,CAQU_RS11520
>OP_CAQU_RS03455,+,CAQU_RS03455,CAQU_RS03460
>OP_CAQU_RS05400,+,CAQU_RS05400,CAQU_RS05405
>OP_CAQU_RS01195,-,CAQU_RS01195,CAQU_RS01190
>OP_CAQU_RS08470,+,CAQU_RS08470,CAQU_RS08475
>OP_CAQU_RS05940,-,CAQU_RS05940,CAQU_RS05935
>OP_CAQU_RS12480,-,CAQU_RS12480,CAQU_RS11295,CAQU_RS11290,CAQU_RS11285,CAQU_RS11280,CAQU_RS11275
>OP_CAQU_RS01275,+,CAQU_RS01275,CAQU_RS01280
>OP_CAQU_RS11600,-,CAQU_RS11600,CAQU_RS11595
>OP_CAQU_RS02700,-,CAQU_RS02700,CAQU_RS02695
>OP_CAQU_RS09980,-,CAQU_RS09980,CAQU_RS09975,CAQU_RS09970,CAQU_RS09965
>OP_CAQU_RS09305,+,CAQU_RS09305,CAQU_RS09310,CAQU_RS09315
>OP_CAQU_RS06090,-,CAQU_RS06090,CAQU_RS06085
>OP_CAQU_RS01180,-,CAQU_RS01180,CAQU_RS01175
>OP_CAQU_RS01120,+,CAQU_RS01120,CAQU_RS01125,CAQU_RS01130
>OP_CAQU_RS01675,+,CAQU_RS01675,CAQU_RS01680,CAQU_RS01685,CAQU_RS01690,CAQU_RS01695,CAQU_RS01700,CAQU_RS01705,CAQU_RS01710,CAQU_RS01715,CAQU_RS01720,CAQU_RS01725
>OP_CAQU_RS04685,-,CAQU_RS04685,CAQU_RS04680,CAQU_RS04675
>OP_CAQU_RS07580,-,CAQU_RS07580,CAQU_RS07575
>OP_CAQU_RS08865,-,CAQU_RS08865,CAQU_RS08860
>OP_CAQU_RS05320,+,CAQU_RS05320,CAQU_RS05325
>OP_CAQU_RS05050,+,CAQU_RS05050,CAQU_RS05055,CAQU_RS05060
>OP_CAQU_RS11565,-,CAQU_RS11565,CAQU_RS11560,CAQU_RS11555
>OP_CAQU_RS08265,-,CAQU_RS08265,CAQU_RS08260
>OP_CAQU_RS01360,+,CAQU_RS01360,CAQU_RS01365,CAQU_RS01370,CAQU_RS01375
>OP_CAQU_RS06725,-,CAQU_RS06725,CAQU_RS06720,CAQU_RS06715,CAQU_RS06710,CAQU_RS06705,CAQU_RS06700
>OP_CAQU_RS00050,+,CAQU_RS00050,CAQU_RS00055
>OP_CAQU_RS12440,-,CAQU_RS12440,CAQU_RS09555,CAQU_RS09550,CAQU_RS09545,CAQU_RS09540
>OP_CAQU_RS07340,-,CAQU_RS07340,CAQU_RS07335,CAQU_RS07330
>OP_CAQU_RS02275,+,CAQU_RS02275,CAQU_RS02280,CAQU_RS02285
>OP_CAQU_RS09925,+,CAQU_RS09925,CAQU_RS09930
>OP_CAQU_RS07030,+,CAQU_RS07030,CAQU_RS07035
>OP_CAQU_RS10615,-,CAQU_RS10615,CAQU_RS10610
>OP_CAQU_RS09170,-,CAQU_RS09170,CAQU_RS09165,CAQU_RS09160
>OP_CAQU_RS01670,-,CAQU_RS01670,CAQU_RS01665
>OP_CAQU_RS10840,-,CAQU_RS10840,CAQU_RS10835,CAQU_RS10830,CAQU_RS10825,CAQU_RS10820
>OP_CAQU_RS03470,-,CAQU_RS03470,CAQU_RS03465
>OP_CAQU_RS09095,+,CAQU_RS09095,CAQU_RS09100
>OP_CAQU_RS01255,+,CAQU_RS01255,CAQU_RS01260,CAQU_RS01265
>OP_CAQU_RS08370,-,CAQU_RS08370,CAQU_RS08365
>OP_CAQU_RS07715,+,CAQU_RS07715,CAQU_RS07720,CAQU_RS07725
>OP_CAQU_RS07525,-,CAQU_RS07525,CAQU_RS07520
>OP_CAQU_RS05995,-,CAQU_RS05995,CAQU_RS05990
>OP_CAQU_RS07165,-,CAQU_RS07165,CAQU_RS07160
>OP_CAQU_RS06235,-,CAQU_RS06235,CAQU_RS06230
>OP_CAQU_RS04380,-,CAQU_RS04380,CAQU_RS04375,CAQU_RS04370
>OP_CAQU_RS03950,+,CAQU_RS03950,CAQU_RS03955,CAQU_RS03960,CAQU_RS03965,CAQU_RS03970,CAQU_RS03975
>OP_CAQU_RS07415,-,CAQU_RS07415,CAQU_RS07410
>OP_CAQU_RS06910,-,CAQU_RS06910,CAQU_RS06905
>OP_CAQU_RS08005,+,CAQU_RS08005,CAQU_RS08010,CAQU_RS08015,CAQU_RS08020
>OP_CAQU_RS07100,-,CAQU_RS07100,CAQU_RS07095
>OP_CAQU_RS04965,+,CAQU_RS04965,CAQU_RS04970,CAQU_RS04975,CAQU_RS04980
>OP_CAQU_RS01800,-,CAQU_RS01800,CAQU_RS01795,CAQU_RS01790
>OP_CAQU_RS02140,+,CAQU_RS02140,CAQU_RS02145
>OP_CAQU_RS07370,-,CAQU_RS07370,CAQU_RS07365
>OP_CAQU_RS11630,+,CAQU_RS11630,CAQU_RS11635
>OP_CAQU_RS05260,+,CAQU_RS05260,CAQU_RS05265
>OP_CAQU_RS10215,-,CAQU_RS10215,CAQU_RS10210
>OP_CAQU_RS01025,+,CAQU_RS01025,CAQU_RS01030,CAQU_RS01035
>OP_CAQU_RS07545,-,CAQU_RS07545,CAQU_RS07540
>OP_CAQU_RS00875,+,CAQU_RS00875,CAQU_RS00880,CAQU_RS00885,CAQU_RS00890,CAQU_RS00895,CAQU_RS00900,CAQU_RS00905
>OP_CAQU_RS03775,+,CAQU_RS03775,CAQU_RS03780
>OP_CAQU_RS04525,-,CAQU_RS04525,CAQU_RS04520
>OP_CAQU_RS12080,-,CAQU_RS12080,CAQU_RS12075
>OP_CAQU_RS02110,+,CAQU_RS02110,CAQU_RS02115,CAQU_RS02120
>OP_CAQU_RS09185,-,CAQU_RS09185,CAQU_RS09180
>OP_CAQU_RS09640,-,CAQU_RS09640,CAQU_RS09635,CAQU_RS09630
>OP_CAQU_RS04750,+,CAQU_RS04750,CAQU_RS04755,CAQU_RS04760
>OP_CAQU_RS09110,-,CAQU_RS09110,CAQU_RS09105
>OP_CAQU_RS11710,+,CAQU_RS11710,CAQU_RS11715
>OP_CAQU_RS04065,-,CAQU_RS04065,CAQU_RS04060
>OP_CAQU_RS11445,+,CAQU_RS11445,CAQU_RS11450
>OP_CAQU_RS10945,-,CAQU_RS10945,CAQU_RS10940
>OP_CAQU_RS08805,-,CAQU_RS08805,CAQU_RS08800
>OP_CAQU_RS07280,+,CAQU_RS07280,CAQU_RS07285,CAQU_RS07290
>OP_CAQU_RS07210,+,CAQU_RS07210,CAQU_RS07215
>OP_CAQU_RS10725,-,CAQU_RS10725,CAQU_RS10720,CAQU_RS10715,CAQU_RS10710,CAQU_RS10705,CAQU_RS10700,CAQU_RS10695
>OP_CAQU_RS11790,-,CAQU_RS11790,CAQU_RS11785,CAQU_RS11780,CAQU_RS11775,CAQU_RS11770,CAQU_RS11765
>OP_CAQU_RS03510,+,CAQU_RS03510,CAQU_RS03515
>OP_CAQU_RS11815,-,CAQU_RS11815,CAQU_RS11810,CAQU_RS11805,CAQU_RS11800,CAQU_RS11795
>OP_CAQU_RS05520,+,CAQU_RS05520,CAQU_RS05525,CAQU_RS05530,CAQU_RS05535
>OP_CAQU_RS03030,+,CAQU_RS03030,CAQU_RS03035,CAQU_RS03040,CAQU_RS03045,CAQU_RS03050,CAQU_RS03055,CAQU_RS03060,CAQU_RS03065,CAQU_RS03070
>OP_CAQU_RS11105,-,CAQU_RS11105,CAQU_RS11100
>OP_CAQU_RS06060,-,CAQU_RS06060,CAQU_RS06055
>OP_CAQU_RS07500,-,CAQU_RS07500,CAQU_RS07495,CAQU_RS07490,CAQU_RS07485
>OP_CAQU_RS00500,+,CAQU_RS00500,CAQU_RS00505
>OP_CAQU_RS01290,+,CAQU_RS01290,CAQU_RS01295
>OP_CAQU_RS00605,-,CAQU_RS00605,CAQU_RS00600
>OP_CAQU_RS09135,+,CAQU_RS09135,CAQU_RS09140
>OP_CAQU_RS09385,+,CAQU_RS09385,CAQU_RS09390
>OP_CAQU_RS00965,-,CAQU_RS00965,CAQU_RS00960
>OP_CAQU_RS10545,+,CAQU_RS10545,CAQU_RS10550
>OP_CAQU_RS10560,+,CAQU_RS10560,CAQU_RS10565
>OP_CAQU_RS02005,+,CAQU_RS02005,CAQU_RS02010,CAQU_RS02015
>OP_CAQU_RS10635,-,CAQU_RS10635,CAQU_RS10630
>OP_CAQU_RS05070,+,CAQU_RS05070,CAQU_RS05075,CAQU_RS05080
>OP_CAQU_RS06625,-,CAQU_RS06625,CAQU_RS06620,CAQU_RS06615,CAQU_RS06610,CAQU_RS06605
>OP_CAQU_RS09665,-,CAQU_RS09665,CAQU_RS09660,CAQU_RS09655
>OP_CAQU_RS00015,+,CAQU_RS00015,CAQU_RS00020
>OP_CAQU_RS10360,+,CAQU_RS10360,CAQU_RS10365
>OP_CAQU_RS09590,-,CAQU_RS09590,CAQU_RS09585,CAQU_RS09580,CAQU_RS09575,CAQU_RS09570
>OP_CAQU_RS01865,+,CAQU_RS01865,CAQU_RS01870,CAQU_RS01875
>OP_CAQU_RS06635,-,CAQU_RS06635,CAQU_RS06630
>OP_CAQU_RS08295,+,CAQU_RS08295,CAQU_RS08300
>OP_CAQU_RS02520,-,CAQU_RS02520,CAQU_RS02515
>OP_CAQU_RS03795,+,CAQU_RS03795,CAQU_RS03800,CAQU_RS03805
>OP_CAQU_RS02440,+,CAQU_RS02440,CAQU_RS02445
>OP_CAQU_RS06975,-,CAQU_RS06975,CAQU_RS06970
>OP_CAQU_RS01775,-,CAQU_RS01775,CAQU_RS01770
>OP_CAQU_RS08155,-,CAQU_RS08155,CAQU_RS08150
>OP_CAQU_RS04125,+,CAQU_RS04125,CAQU_RS04130
>OP_CAQU_RS05205,+,CAQU_RS05205,CAQU_RS05210
>OP_CAQU_RS08235,-,CAQU_RS08235,CAQU_RS08230
>OP_CAQU_RS08960,+,CAQU_RS08960,CAQU_RS08965,CAQU_RS08970,CAQU_RS08975
>OP_CAQU_RS01340,+,CAQU_RS01340,CAQU_RS01345
>OP_CAQU_RS12180,+,CAQU_RS12180,CAQU_RS12185
>OP_CAQU_RS11530,-,CAQU_RS11530,CAQU_RS11525
>OP_CAQU_RS01615,-,CAQU_RS01615,CAQU_RS01610,CAQU_RS01605,CAQU_RS01600
>OP_CAQU_RS01580,-,CAQU_RS01580,CAQU_RS01575,CAQU_RS01570,CAQU_RS01565
>OP_CAQU_RS03725,-,CAQU_RS03725,CAQU_RS03720,CAQU_RS03715,CAQU_RS03710
>OP_CAQU_RS10310,-,CAQU_RS10310,CAQU_RS10305,CAQU_RS10300,CAQU_RS10295,CAQU_RS10290
>OP_CAQU_RS04200,-,CAQU_RS04200,CAQU_RS04195
>OP_CAQU_RS06170,-,CAQU_RS06170,CAQU_RS06165,CAQU_RS06160
>OP_CAQU_RS09045,-,CAQU_RS09045,CAQU_RS09040,CAQU_RS09035
>OP_CAQU_RS00410,-,CAQU_RS00410,CAQU_RS00405
>OP_CAQU_RS03705,-,CAQU_RS03705,CAQU_RS03700
>OP_CAQU_RS11095,-,CAQU_RS11095,CAQU_RS11090
>OP_CAQU_RS00555,+,CAQU_RS00555,CAQU_RS00560
>OP_CAQU_RS02330,+,CAQU_RS02330,CAQU_RS02335,CAQU_RS02340,CAQU_RS02345
>OP_CAQU_RS11035,-,CAQU_RS11035,CAQU_RS11030
>OP_CAQU_RS02835,+,CAQU_RS02835,CAQU_RS02840
>OP_CAQU_RS11750,+,CAQU_RS11750,CAQU_RS11755,CAQU_RS11760
>OP_CAQU_RS03250,+,CAQU_RS03250,CAQU_RS03255
>OP_CAQU_RS11130,+,CAQU_RS11130,CAQU_RS11135,CAQU_RS11140,CAQU_RS11145
>OP_CAQU_RS01830,+,CAQU_RS01830,CAQU_RS01835,CAQU_RS01840
>OP_CAQU_RS03855,+,CAQU_RS03855,CAQU_RS03860
>OP_CAQU_RS03415,-,CAQU_RS03415,CAQU_RS03410
>OP_CAQU_RS06780,-,CAQU_RS06780,CAQU_RS06775
>OP_CAQU_RS10500,-,CAQU_RS10500,CAQU_RS10495
>OP_CAQU_RS04890,+,CAQU_RS04890,CAQU_RS04895
>OP_CAQU_RS03210,+,CAQU_RS03210,CAQU_RS03215
>OP_CAQU_RS02795,+,CAQU_RS02795,CAQU_RS02800
>OP_CAQU_RS06335,-,CAQU_RS06335,CAQU_RS06330
>OP_CAQU_RS06450,-,CAQU_RS06450,CAQU_RS06445,CAQU_RS06440,CAQU_RS06435
>OP_CAQU_RS02825,+,CAQU_RS02825,CAQU_RS02830
>OP_CAQU_RS08765,-,CAQU_RS08765,CAQU_RS08760
>OP_CAQU_RS11065,+,CAQU_RS11065,CAQU_RS11070
>OP_CAQU_RS10445,-,CAQU_RS10445,CAQU_RS10440,CAQU_RS10435,CAQU_RS10430,CAQU_RS10425,CAQU_RS10420
>OP_CAQU_RS03140,-,CAQU_RS03140,CAQU_RS03135,CAQU_RS03130,CAQU_RS03125,CAQU_RS03120
>OP_CAQU_RS10355,-,CAQU_RS10355,CAQU_RS10350
>OP_CAQU_RS02870,+,CAQU_RS02870,CAQU_RS02875
>OP_CAQU_RS06475,-,CAQU_RS06475,CAQU_RS06470
>OP_CAQU_RS05595,-,CAQU_RS05595,CAQU_RS12410,CAQU_RS05590
>OP_CAQU_RS06185,-,CAQU_RS06185,CAQU_RS06180
>OP_CAQU_RS02300,-,CAQU_RS02300,CAQU_RS02295
>OP_CAQU_RS02090,+,CAQU_RS02090,CAQU_RS02095
>OP_CAQU_RS02925,+,CAQU_RS02925,CAQU_RS02930,CAQU_RS02935
>OP_CAQU_RS05900,+,CAQU_RS05900,CAQU_RS05905
>OP_CAQU_RS11690,-,CAQU_RS11690,CAQU_RS11685
>OP_CAQU_RS01885,+,CAQU_RS01885,CAQU_RS01890
>OP_CAQU_RS10750,-,CAQU_RS10750,CAQU_RS10745,CAQU_RS10740
>OP_CAQU_RS02070,+,CAQU_RS02070,CAQU_RS02075
>OP_CAQU_RS11670,+,CAQU_RS11670,CAQU_RS11675
>OP_CAQU_RS07565,-,CAQU_RS07565,CAQU_RS07560
>OP_CAQU_RS10920,+,CAQU_RS10920,CAQU_RS10925,CAQU_RS10930,CAQU_RS12465
>OP_CAQU_RS08980,+,CAQU_RS08980,CAQU_RS08985
>OP_CAQU_RS00335,+,CAQU_RS00335,CAQU_RS00340
>OP_CAQU_RS06540,+,CAQU_RS06540,CAQU_RS06545
>OP_CAQU_RS06125,-,CAQU_RS06125,CAQU_RS06120
>OP_CAQU_RS04090,-,CAQU_RS04090,CAQU_RS04085,CAQU_RS04080
>OP_CAQU_RS10535,+,CAQU_RS10535,CAQU_RS10540
>OP_CAQU_RS06890,-,CAQU_RS06890,CAQU_RS06885
>OP_CAQU_RS00820,+,CAQU_RS00820,CAQU_RS00825
>OP_CAQU_RS09700,-,CAQU_RS09700,CAQU_RS09695,CAQU_RS09690,CAQU_RS09685,CAQU_RS09680
>OP_CAQU_RS03095,+,CAQU_RS03095,CAQU_RS03100,CAQU_RS03105
>OP_CAQU_RS04775,+,CAQU_RS04775,CAQU_RS04780
>OP_CAQU_RS08615,-,CAQU_RS08615,CAQU_RS08610
>OP_CAQU_RS10480,-,CAQU_RS10480,CAQU_RS10475
>OP_CAQU_RS01975,+,CAQU_RS01975,CAQU_RS01980
>OP_CAQU_RS04640,-,CAQU_RS04640,CAQU_RS04635
>OP_CAQU_RS07780,-,CAQU_RS07780,CAQU_RS07775
>OP_CAQU_RS10985,+,CAQU_RS10985,CAQU_RS10990
>OP_CAQU_RS07875,-,CAQU_RS07875,CAQU_RS07870
>OP_CAQU_RS04105,+,CAQU_RS04105,CAQU_RS04110,CAQU_RS04115
>OP_CAQU_RS06760,-,CAQU_RS06760,CAQU_RS06755,CAQU_RS06750
>OP_CAQU_RS12225,+,CAQU_RS12225,CAQU_RS12230
>OP_CAQU_RS08785,-,CAQU_RS08785,CAQU_RS08780
>OP_CAQU_RS08335,-,CAQU_RS08335,CAQU_RS08330
>OP_CAQU_RS12430,-,CAQU_RS12430,CAQU_RS09360
>OP_CAQU_RS11845,+,CAQU_RS11845,CAQU_RS11850
>OP_CAQU_RS12200,+,CAQU_RS12200,CAQU_RS12205
>OP_CAQU_RS08905,+,CAQU_RS08905,CAQU_RS08910
>OP_CAQU_RS03910,-,CAQU_RS03910,CAQU_RS03905
>OP_CAQU_RS10680,+,CAQU_RS10680,CAQU_RS10685,CAQU_RS10690
>OP_CAQU_RS04740,+,CAQU_RS04740,CAQU_RS04745
>OP_CAQU_RS05955,+,CAQU_RS05955,CAQU_RS05960
>OP_CAQU_RS01325,+,CAQU_RS01325,CAQU_RS01330
>OP_CAQU_RS09800,-,CAQU_RS09800,CAQU_RS09795,CAQU_RS09790
>OP_CAQU_RS01400,+,CAQU_RS01400,CAQU_RS01405
>OP_CAQU_RS00690,-,CAQU_RS00690,CAQU_RS00685,CAQU_RS00680
>OP_CAQU_RS11045,-,CAQU_RS11045,CAQU_RS11040
>OP_CAQU_RS01100,-,CAQU_RS01100,CAQU_RS01095
>OP_CAQU_RS04800,+,CAQU_RS04800,CAQU_RS04805,CAQU_RS04810,CAQU_RS04815,CAQU_RS04820
>OP_CAQU_RS05090,+,CAQU_RS05090,CAQU_RS05095
>OP_CAQU_RS08665,+,CAQU_RS08665,CAQU_RS08670
>OP_CAQU_RS06340,+,CAQU_RS06340,CAQU_RS06345
>OP_CAQU_RS06730,+,CAQU_RS06730,CAQU_RS06735,CAQU_RS06740
>OP_CAQU_RS09520,-,CAQU_RS09520,CAQU_RS09515,CAQU_RS09510,CAQU_RS09505
>OP_CAQU_RS04950,-,CAQU_RS04950,CAQU_RS04945
>OP_CAQU_RS05680,+,CAQU_RS05680,CAQU_RS05685
>OP_CAQU_RS07980,-,CAQU_RS07980,CAQU_RS07975,CAQU_RS07970
>OP_CAQU_RS03075,+,CAQU_RS03075,CAQU_RS03080
>OP_CAQU_RS05985,-,CAQU_RS05985,CAQU_RS05980
>OP_CAQU_RS10815,-,CAQU_RS10815,CAQU_RS10810,CAQU_RS10805,CAQU_RS10800
>OP_CAQU_RS09725,-,CAQU_RS09725,CAQU_RS09720,CAQU_RS09715,CAQU_RS09710,CAQU_RS09705
>OP_CAQU_RS03585,+,CAQU_RS03585,CAQU_RS03590
>OP_CAQU_RS00770,-,CAQU_RS00770,CAQU_RS00765,CAQU_RS00760
>OP_CAQU_RS03275,-,CAQU_RS03275,CAQU_RS03270
>OP_CAQU_RS08505,+,CAQU_RS08505,CAQU_RS08510
>OP_CAQU_RS01925,+,CAQU_RS01925,CAQU_RS01930
>OP_CAQU_RS04500,+,CAQU_RS04500,CAQU_RS12385,CAQU_RS12390
>OP_CAQU_RS06385,+,CAQU_RS06385,CAQU_RS06390
>OP_CAQU_RS03015,+,CAQU_RS03015,CAQU_RS03020
>OP_CAQU_RS00155,-,CAQU_RS00155,CAQU_RS00150,CAQU_RS00145,CAQU_RS00140
>OP_CAQU_RS05795,+,CAQU_RS05795,CAQU_RS05800
>OP_CAQU_RS00045,-,CAQU_RS00045,CAQU_RS00040
>OP_CAQU_RS05705,+,CAQU_RS05705,CAQU_RS05710,CAQU_RS05715
>OP_CAQU_RS05030,+,CAQU_RS05030,CAQU_RS05035,CAQU_RS05040
>OP_CAQU_RS10030,+,CAQU_RS10030,CAQU_RS10035
>OP_CAQU_RS08395,-,CAQU_RS08395,CAQU_RS08390,CAQU_RS08385
>OP_CAQU_RS03620,-,CAQU_RS03620,CAQU_RS03615
>OP_CAQU_RS08035,-,CAQU_RS08035,CAQU_RS08030,CAQU_RS08025
>OP_CAQU_RS01010,-,CAQU_RS01010,CAQU_RS01005
>OP_CAQU_RS11995,+,CAQU_RS11995,CAQU_RS12000
>OP_CAQU_RS05570,-,CAQU_RS05570,CAQU_RS05565
>OP_CAQU_RS11460,+,CAQU_RS11460,CAQU_RS11465
>OP_CAQU_RS06410,-,CAQU_RS06410,CAQU_RS06405
>OP_CAQU_RS02495,-,CAQU_RS02495,CAQU_RS02490,CAQU_RS02485
>OP_CAQU_RS04435,-,CAQU_RS04435,CAQU_RS04430
>OP_CAQU_RS07380,-,CAQU_RS07380,CAQU_RS07375
>OP_CAQU_RS02430,+,CAQU_RS02430,CAQU_RS02435
>OP_CAQU_RS03570,+,CAQU_RS03570,CAQU_RS03575
>OP_CAQU_RS03180,-,CAQU_RS03180,CAQU_RS03175,CAQU_RS03170
>OP_CAQU_RS00225,+,CAQU_RS00225,CAQU_RS00230
>OP_CAQU_RS02080,+,CAQU_RS02080,CAQU_RS02085
>OP_CAQU_RS01450,-,CAQU_RS01450,CAQU_RS01445,CAQU_RS01440
>OP_CAQU_RS02855,-,CAQU_RS02855,CAQU_RS02850
>OP_CAQU_RS11540,-,CAQU_RS11540,CAQU_RS11535
>OP_CAQU_RS01895,+,CAQU_RS01895,CAQU_RS01900,CAQU_RS01905
>OP_CAQU_RS01380,+,CAQU_RS01380,CAQU_RS01385
>OP_CAQU_RS09060,-,CAQU_RS09060,CAQU_RS09055
>OP_CAQU_RS12190,+,CAQU_RS12190,CAQU_RS12195
>OP_CAQU_RS09220,-,CAQU_RS09220,CAQU_RS09215
>OP_CAQU_RS01460,+,CAQU_RS01460,CAQU_RS01465,CAQU_RS01470,CAQU_RS01475,CAQU_RS01480
>OP_CAQU_RS02315,+,CAQU_RS02315,CAQU_RS02320
>OP_CAQU_RS06685,+,CAQU_RS06685,CAQU_RS06690,CAQU_RS06695
>OP_CAQU_RS02185,+,CAQU_RS02185,CAQU_RS02190
>OP_CAQU_RS03545,-,CAQU_RS03545,CAQU_RS03540
>OP_CAQU_RS06850,-,CAQU_RS06850,CAQU_RS06845
>OP_CAQU_RS04515,-,CAQU_RS04515,CAQU_RS04510
>OP_CAQU_RS10735,-,CAQU_RS10735,CAQU_RS10730
>OP_CAQU_RS04335,-,CAQU_RS04335,CAQU_RS04330
>OP_CAQU_RS08525,-,CAQU_RS08525,CAQU_RS08520
>OP_CAQU_RS05015,+,CAQU_RS05015,CAQU_RS05020,CAQU_RS05025
>OP_CAQU_RS02225,-,CAQU_RS02225,CAQU_RS02220
>OP_CAQU_RS06800,-,CAQU_RS06800,CAQU_RS06795
>OP_CAQU_RS07310,+,CAQU_RS07310,CAQU_RS07315,CAQU_RS07320
>OP_CAQU_RS02195,+,CAQU_RS02195,CAQU_RS02200
>OP_CAQU_RS00075,-,CAQU_RS00075,CAQU_RS00070
>OP_CAQU_RS00320,+,CAQU_RS00320,CAQU_RS00325
>OP_CAQU_RS12315,-,CAQU_RS12315,CAQU_RS12310,CAQU_RS12305
>OP_CAQU_RS08430,+,CAQU_RS08430,CAQU_RS08435
>OP_CAQU_RS05740,+,CAQU_RS05740,CAQU_RS05745
>OP_CAQU_RS00200,+,CAQU_RS00200,CAQU_RS00205
>OP_CAQU_RS02985,+,CAQU_RS02985,CAQU_RS02990,CAQU_RS02995
>OP_CAQU_RS04935,+,CAQU_RS04935,CAQU_RS04940
>OP_CAQU_RS08595,+,CAQU_RS08595,CAQU_RS08600
>OP_CAQU_RS08355,-,CAQU_RS08355,CAQU_RS08350
>OP_CAQU_RS04615,+,CAQU_RS04615,CAQU_RS04620
>OP_CAQU_RS00445,-,CAQU_RS00445,CAQU_RS00440,CAQU_RS00435
>OP_CAQU_RS09650,-,CAQU_RS09650,CAQU_RS09645
>OP_CAQU_RS09475,-,CAQU_RS09475,CAQU_RS09470
>OP_CAQU_RS05720,+,CAQU_RS05720,CAQU_RS05725
>OP_CAQU_RS06135,-,CAQU_RS06135,CAQU_RS06130
>OP_CAQU_RS11200,-,CAQU_RS11200,CAQU_RS11195,CAQU_RS11190,CAQU_RS11185,CAQU_RS11180
>OP_CAQU_RS12445,-,CAQU_RS12445,CAQU_RS09595
>OP_CAQU_RS00085,-,CAQU_RS00085,CAQU_RS00080
>OP_CAQU_RS07760,-,CAQU_RS07760,CAQU_RS07755
