TF_id	chip_prefix	peak_id	chrom	peak_start_1based	peak_end_1based	peak_center_1based	peak_score	peak_signal	neglog10q	strength_tier	nearest_gene	TU_id	gene_list	strand	TSS_like	promoter_start	promoter_end	rel_pos_to_TSS	abs_rel_pos	overlap_bp	mapping_rank	mapping_status	tu_context	genomic_region_chip
A2b	A2b-1-i7	A2b-1-i7_peak_71	NC_006958.1	1096976	1098272	1097606	1249	4.86178	119.347	very_strong	CGTRNA_RS15580	TU_651	Cgl1049, Cgl1048, Cgl1047	+	1097229	1096929	1097279	377	377	304	2	secondary	inside_transcribed_region	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_71	NC_006958.1	1096976	1098272	1097606	1249	4.86178	119.347	very_strong	CGTRNA_RS15580	TU_649	Cgl1046	-	1097111	1097061	1097411	-495	495	351	3	secondary	upstream_near_TU	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_3	NC_006958.1	11559	12485	11966	1222	5.46974	116.799	very_strong	CGTRNA_RS00055	TU_2082	gyrA-Cgl0014	+	11831	11531	11881	135	135	323	1	primary	inside_transcribed_region	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_3	NC_006958.1	11559	12485	11966	1222	5.46974	116.799	very_strong	CGTRNA_RS00055	TU_122	Cgl0012-Cgl0011	-	11768	11718	12068	-198	198	351	2	secondary	inside_TU_promoter	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_200	NC_006958.1	2665073	2667540	2666418	1121	4.12638	107.551	very_strong	CGTRNA_RS12545	TU_1870	dinG	+	2666116	2665816	2666166	302	302	351	1	primary	inside_transcribed_region	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_200	NC_006958.1	2665073	2667540	2666418	1121	4.12638	107.551	very_strong	CGTRNA_RS12545	TU_1441	Cgl2518	+	2665688	2665388	2665738	730	730	351	2	secondary	intergenic_unassigned	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_4	NC_006958.1	18948	20016	19827	1000	2.25047	96.1493	very_strong	CGTRNA_RS00105	TU_128	Cgl0020-Cgl0021	+	19705	19405	19755	122	122	351	1	primary	inside_transcribed_region	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_4	NC_006958.1	18948	20016	19827	1000	2.25047	96.1493	very_strong	CGTRNA_RS00105	TU_127	Cgl0019-Cgl0018	-	19497	19447	19797	-330	330	351	2	secondary	upstream_near_TU	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_162	NC_006958.1	1944370	1948917	1945491	976	3.78381	93.8023	very_strong	CGTRNA_RS16380	TU_1088	Cgl1836	-	1945435	1945385	1945735	-56	56	351	1	primary	inside_TU_promoter	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_162	NC_006958.1	1944370	1948917	1945491	976	3.78381	93.8023	very_strong	CGTRNA_RS16380	TU_1089	Cgl1837	-	1945891	1945841	1946191	400	400	351	2	secondary	intergenic_unassigned	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_162	NC_006958.1	1944370	1948917	1945491	976	3.78381	93.8023	very_strong	CGTRNA_RS16380	TU_1090	Cgl1838	-	1946332	1946282	1946632	841	841	351	3	secondary	intergenic_unassigned	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_162	NC_006958.1	1944370	1948917	1945491	976	3.78381	93.8023	very_strong	CGTRNA_RS16380	TU_1091	Cgl1839	-	1947037	1946987	1947337	1546	1546	351	4	secondary	intergenic_unassigned	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_162	NC_006958.1	1944370	1948917	1945491	976	3.78381	93.8023	very_strong	CGTRNA_RS16380	TU_2452	psp3-Cgl1839	-	1948650	1948600	1948950	3159	3159	318	5	secondary	intergenic_unassigned	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_114	NC_006958.1	1783156	1786471	1784168	959	4.2484	92.1979	very_strong	CGTRNA_RS08435	TU_960	Cgl1680	-	1785473	1785423	1785773	1305	1305	351	1	primary	inside_transcribed_region	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_112	NC_006958.1	1757975	1759057	1758644	847	4.4826	81.2303	very_strong	CGTRNA_RS08285	TU_2624	secF	-	1758797	1758747	1759097	153	153	311	1	primary	inside_transcribed_region	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_132	NC_006958.1	1834456	1838484	1837184	846	2.82886	81.2262	very_strong	CGTRNA_RS08700	TU_2440	priP-Cgl1740	+	1836675	1836375	1836725	509	509	351	1	primary	inside_transcribed_region	dist_intergenic
A2b	A2b-1-i7	A2b-1-i7_peak_132	NC_006958.1	1834456	1838484	1837184	846	2.82886	81.2262	very_strong	CGTRNA_RS08700	TU_1007	Cgl1738	-	1834928	1834878	1835228	-2256	2256	351	2	secondary	intergenic_unassigned	dist_intergenic
A2b	A2b-1-i7	A2b-1-i7_peak_68	NC_006958.1	1045916	1047802	1046641	828	3.99579	79.4265	very_strong	CGTRNA_RS04950	TU_75	aroF	+	1046610	1046310	1046660	31	31	351	1	primary	inside_TU_promoter	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_68	NC_006958.1	1045916	1047802	1046641	828	3.99579	79.4265	very_strong	CGTRNA_RS04950	TU_620	Cgl0989	+	1046073	1045773	1046123	568	568	208	2	secondary	intergenic_unassigned	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_68	NC_006958.1	1045916	1047802	1046641	828	3.99579	79.4265	very_strong	CGTRNA_RS04950	TU_2793	uppS1	+	1047827	1047527	1047877	-1186	1186	276	3	secondary	intergenic_unassigned	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_117	NC_006958.1	1794397	1795741	1794788	755	3.56776	72.24	very_strong	CGTRNA_RS08480	TU_970	Cgl1693, Cgl1692, Cgl1691	+	1795202	1794902	1795252	-414	414	351	1	primary	upstream_near_TU	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_165	NC_006958.1	1959028	1960859	1960035	745	3.57706	71.3082	very_strong	CGTRNA_RS09215	TU_1097	Cgl1846	-	1960196	1960146	1960496	161	161	351	1	primary	inside_transcribed_region	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_165	NC_006958.1	1959028	1960859	1960035	745	3.57706	71.3082	very_strong	CGTRNA_RS09215	TU_1096	Cgl1845	-	1959340	1959290	1959640	-695	695	351	2	secondary	intergenic_unassigned	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_130	NC_006958.1	1828510	1830349	1829370	679	2.98805	64.8662	very_strong	CGTRNA_RS08675	TU_1005	Cgl1735	-	1829900	1829850	1830200	530	530	351	1	primary	intergenic_unassigned	dist_intergenic
A2b	A2b-1-i7	A2b-1-i7_peak_77	NC_006958.1	1192382	1194855	1192885	660	3.59395	62.9574	very_strong	CGTRNA_RS05705	TU_700	Cgl1141	+	1192410	1192110	1192460	475	475	79	1	primary	inside_transcribed_region	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_77	NC_006958.1	1192382	1194855	1192885	660	3.59395	62.9574	very_strong	CGTRNA_RS05705	TU_701	Cgl1142	+	1193867	1193567	1193917	-982	982	351	2	secondary	intergenic_unassigned	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_77	NC_006958.1	1192382	1194855	1192885	660	3.59395	62.9574	very_strong	CGTRNA_RS05705	TU_702	Cgl1143	+	1194165	1193865	1194215	-1280	1280	351	3	secondary	intergenic_unassigned	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_116	NC_006958.1	1789507	1794259	1793142	645	3.03101	61.4542	very_strong	CGTRNA_RS08475	TU_968	Cgl1689	-	1793654	1793604	1793954	512	512	351	1	primary	intergenic_unassigned	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_116	NC_006958.1	1789507	1794259	1793142	645	3.03101	61.4542	very_strong	CGTRNA_RS08475	TU_969	Cgl1690	+	1793714	1793414	1793764	-572	572	351	2	secondary	upstream_near_TU	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_116	NC_006958.1	1789507	1794259	1793142	645	3.03101	61.4542	very_strong	CGTRNA_RS08475	TU_966	Cgl1687	+	1791842	1791542	1791892	1300	1300	351	3	secondary	intergenic_unassigned	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_116	NC_006958.1	1789507	1794259	1793142	645	3.03101	61.4542	very_strong	CGTRNA_RS08475	TU_967	Cgl1687-Cgl1688	+	1791842	1791542	1791892	1300	1300	351	4	secondary	inside_transcribed_region	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_116	NC_006958.1	1789507	1794259	1793142	645	3.03101	61.4542	very_strong	CGTRNA_RS08475	TU_965	Cgl1686	-	1790889	1790839	1791189	-2253	2253	351	5	secondary	intergenic_unassigned	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_116	NC_006958.1	1789507	1794259	1793142	645	3.03101	61.4542	very_strong	CGTRNA_RS08475	TU_964	Cgl1685	+	1789746	1789446	1789796	3396	3396	290	6	secondary	intergenic_unassigned	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_106	NC_006958.1	1604345	1605913	1604717	611	3.91619	58.2367	very_strong	CGTRNA_RS07620	TU_904	Cgl1523-Cgl1522	-	1605811	1605761	1606111	1094	1094	153	1	primary	intergenic_unassigned	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_122	NC_006958.1	1806943	1808971	1808235	607	3.06634	57.8033	very_strong	CGTRNA_RS16540	TU_987	Cgl1712, Cgl1711, Cgl1710, Cgl1709	+	1806917	1806617	1806967	1318	1318	25	1	primary	inside_transcribed_region	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_220	NC_006958.1	2990143	2990907	2990568	591	3.27098	56.237	very_strong	CGTRNA_RS13980	TU_1554	Cgl2803-Cgl2802	-	2990046	2989996	2990346	-522	522	204	1	primary	upstream_near_TU	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_28	NC_006958.1	368846	373219	372011	585	2.99637	55.612	very_strong	CGTRNA_RS01835	TU_2821	wzx	+	371929	371629	371979	82	82	351	1	primary	inside_transcribed_region	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_28	NC_006958.1	368846	373219	372011	585	2.99637	55.612	very_strong	CGTRNA_RS01835	TU_290	Cgl0350	+	370613	370313	370663	1398	1398	351	2	secondary	intergenic_unassigned	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_28	NC_006958.1	368846	373219	372011	585	2.99637	55.612	very_strong	CGTRNA_RS01835	TU_291	Cgl0350	+	370613	370313	370663	1398	1398	351	3	secondary	intergenic_unassigned	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_28	NC_006958.1	368846	373219	372011	585	2.99637	55.612	very_strong	CGTRNA_RS01835	TU_2274	murAB-Cgl0354	+	373500	373200	373550	-1489	1489	20	4	secondary	intergenic_unassigned	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_28	NC_006958.1	368846	373219	372011	585	2.99637	55.612	very_strong	CGTRNA_RS01835	TU_2275	murAB-Cgl0354	+	373500	373200	373550	-1489	1489	20	5	secondary	intergenic_unassigned	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_184	NC_006958.1	2285305	2286395	2286031	557	3.49353	52.8979	very_strong	CGTRNA_RS10685	TU_1947	ftsW	-	2285432	2285382	2285732	-599	599	351	1	primary	upstream_near_TU	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_184	NC_006958.1	2285305	2286395	2286031	557	3.49353	52.8979	very_strong	CGTRNA_RS10685	TU_1948	ftsW	-	2285432	2285382	2285732	-599	599	351	2	secondary	upstream_near_TU	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_136	NC_006958.1	1846661	1848659	1848056	550	2.56782	52.2011	very_strong	CGTRNA_RS08740	TU_1013	Cgl1751, Cgl1750, Cgl1749, Cgl1748, Cgl1747	+	1847315	1847015	1847365	741	741	351	1	primary	inside_transcribed_region	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_136	NC_006958.1	1846661	1848659	1848056	550	2.56782	52.2011	very_strong	CGTRNA_RS08740	TU_1012	Cgl1746	-	1846698	1846648	1846998	-1358	1358	338	2	secondary	intergenic_unassigned	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_217	NC_006958.1	2918604	2920101	2919582	546	2.68601	51.8319	very_strong	CGTRNA_RS13645	TU_1862	def1-xthA-cls-Cgl2740	+	2919716	2919416	2919766	-134	134	351	1	primary	inside_TU_promoter	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_217	NC_006958.1	2918604	2920101	2919582	546	2.68601	51.8319	very_strong	CGTRNA_RS13645	TU_1863	def1-xthA-cls-Cgl2740	+	2919716	2919416	2919766	-134	134	351	2	secondary	inside_TU_promoter	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_217	NC_006958.1	2918604	2920101	2919582	546	2.68601	51.8319	very_strong	CGTRNA_RS13645	TU_1527	Cgl2739-Cgl2737	-	2919742	2919692	2920042	160	160	351	3	secondary	inside_transcribed_region	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_217	NC_006958.1	2918604	2920101	2919582	546	2.68601	51.8319	very_strong	CGTRNA_RS13645	TU_1526	Cgl2736-Cgl2735	-	2918758	2918708	2919058	-824	824	351	4	secondary	intergenic_unassigned	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_219	NC_006958.1	2948856	2950073	2949528	534	2.78721	50.6458	very_strong	CGTRNA_RS13795	TU_1754	cgtS6	-	2949189	2949139	2949489	-339	339	351	1	primary	upstream_near_TU	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_219	NC_006958.1	2948856	2950073	2949528	534	2.78721	50.6458	very_strong	CGTRNA_RS13795	TU_1746	cgtR6	-	2949883	2949833	2950183	355	355	241	2	secondary	inside_transcribed_region	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_219	NC_006958.1	2948856	2950073	2949528	534	2.78721	50.6458	very_strong	CGTRNA_RS13795	TU_1747	cgtR6	-	2949883	2949833	2950183	355	355	241	3	secondary	inside_transcribed_region	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_219	NC_006958.1	2948856	2950073	2949528	534	2.78721	50.6458	very_strong	CGTRNA_RS13795	TU_1535	Cgl2765	+	2950208	2949908	2950258	-680	680	166	4	secondary	intergenic_unassigned	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_160	NC_006958.1	1939049	1939978	1939476	511	2.83781	48.4831	strong	CGTRNA_RS16375	TU_1082	Cgl1828	-	1939064	1939014	1939364	-412	412	316	1	primary	upstream_near_TU	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_160	NC_006958.1	1939049	1939978	1939476	511	2.83781	48.4831	strong	CGTRNA_RS16375	TU_1083	Cgl1829	+	1940257	1939957	1940307	-781	781	22	2	secondary	intergenic_unassigned	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_161	NC_006958.1	1940177	1943976	1941107	511	2.98818	48.4518	strong	CGTRNA_RS09130	TU_1084	Cgl1830	+	1941107	1940807	1941157	0	0	351	1	primary	inside_TU_promoter	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_161	NC_006958.1	1940177	1943976	1941107	511	2.98818	48.4518	strong	CGTRNA_RS09130	TU_1083	Cgl1829	+	1940257	1939957	1940307	850	850	131	2	secondary	intergenic_unassigned	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_161	NC_006958.1	1940177	1943976	1941107	511	2.98818	48.4518	strong	CGTRNA_RS09130	TU_1085	Cgl1831	-	1942484	1942434	1942784	1377	1377	351	3	secondary	intergenic_unassigned	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_161	NC_006958.1	1940177	1943976	1941107	511	2.98818	48.4518	strong	CGTRNA_RS09130	TU_1086	Cgl1832	+	1942510	1942210	1942560	-1403	1403	351	4	secondary	intergenic_unassigned	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_161	NC_006958.1	1940177	1943976	1941107	511	2.98818	48.4518	strong	CGTRNA_RS09130	TU_1087	Cgl1835, Cgl1834, Cgl1833	+	1943095	1942795	1943145	-1988	1988	351	5	secondary	intergenic_unassigned	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_107	NC_006958.1	1609949	1611236	1610333	511	3.48651	48.4318	strong	CGTRNA_RS07645	TU_906	Cgl1527	+	1610236	1609936	1610286	97	97	338	1	primary	inside_transcribed_region	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_107	NC_006958.1	1609949	1611236	1610333	511	3.48651	48.4318	strong	CGTRNA_RS07645	TU_905	Cgl1526	-	1610192	1610142	1610492	-141	141	351	2	secondary	inside_TU_promoter	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_175	NC_006958.1	2168558	2169917	2169485	494	3.12619	46.8054	strong	CGTRNA_RS10180	TU_2662	srp	-	2169584	2169534	2169884	99	99	351	1	primary	inside_transcribed_region	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_175	NC_006958.1	2168558	2169917	2169485	494	3.12619	46.8054	strong	CGTRNA_RS10180	TU_2663	srp	-	2169584	2169534	2169884	99	99	351	2	secondary	inside_transcribed_region	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_66	NC_006958.1	1032540	1033710	1033275	480	3.38481	45.4281	strong	CGTRNA_RS04855	TU_2418	porC	-	1033185	1033135	1033485	-90	90	351	1	primary	inside_TU_promoter	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_66	NC_006958.1	1032540	1033710	1033275	480	3.38481	45.4281	strong	CGTRNA_RS04855	TU_2417	porB	-	1033646	1033596	1033946	371	371	115	2	secondary	near_TU_end	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_66	NC_006958.1	1032540	1033710	1033275	480	3.38481	45.4281	strong	CGTRNA_RS04855	TU_610	Cgl0973	+	1033954	1033654	1034004	-679	679	57	3	secondary	intergenic_unassigned	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_22	NC_006958.1	254491	256209	255749	478	3.2028	45.2562	strong	CGTRNA_RS01265	TU_244	Cgl0239	-	255794	255744	256094	45	45	351	1	primary	inside_TU_promoter	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_22	NC_006958.1	254491	256209	255749	478	3.2028	45.2562	strong	CGTRNA_RS01265	TU_2725	tnp16a(ISCg16a)	-	255438	255388	255738	-311	311	351	2	secondary	upstream_near_TU	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_144	NC_006958.1	1884811	1887075	1886120	477	2.5473	45.1632	strong	CGTRNA_RS08900	TU_1033	Cgl1781	+	1885230	1884930	1885280	890	890	351	1	primary	inside_transcribed_region	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_144	NC_006958.1	1884811	1887075	1886120	477	2.5473	45.1632	strong	CGTRNA_RS08900	TU_1032	Cgl1780	-	1884936	1884886	1885236	-1184	1184	351	2	secondary	intergenic_unassigned	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_125	NC_006958.1	1816343	1819033	1817867	466	2.73058	44.0298	strong	CGTRNA_RS08630	TU_995	Cgl1724-Cgl1725	+	1818460	1818160	1818510	-593	593	351	1	primary	upstream_near_TU	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_125	NC_006958.1	1816343	1819033	1817867	466	2.73058	44.0298	strong	CGTRNA_RS08630	TU_994	Cgl1722-Cgl1723	+	1817132	1816832	1817182	735	735	351	2	secondary	inside_transcribed_region	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_125	NC_006958.1	1816343	1819033	1817867	466	2.73058	44.0298	strong	CGTRNA_RS08630	TU_993	Cgl1721	+	1816451	1816151	1816501	1416	1416	159	3	secondary	intergenic_unassigned	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_65	NC_006958.1	1017562	1018953	1018472	465	2.76923	43.9648	strong	CGTRNA_RS04810	TU_2231	mfd-Cgl0962	+	1018416	1018116	1018466	56	56	351	1	primary	inside_transcribed_region	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_65	NC_006958.1	1017562	1018953	1018472	465	2.76923	43.9648	strong	CGTRNA_RS04810	TU_604	Cgl0961	-	1017870	1017820	1018170	-602	602	351	2	secondary	intergenic_unassigned	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_172	NC_006958.1	2040882	2041596	2041212	453	3.32223	42.7773	strong	pgsA	TU_2465	ptsI	-	2041321	2041271	2041621	109	109	326	1	primary	inside_transcribed_region	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_172	NC_006958.1	2040882	2041596	2041212	453	3.32223	42.7773	strong	pgsA	TU_2466	ptsI	-	2041321	2041271	2041621	109	109	326	2	secondary	inside_transcribed_region	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_172	NC_006958.1	2040882	2041596	2041212	453	3.32223	42.7773	strong	pgsA	TU_2467	ptsI	-	2041321	2041271	2041621	109	109	326	3	secondary	inside_transcribed_region	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_172	NC_006958.1	2040882	2041596	2041212	453	3.32223	42.7773	strong	pgsA	TU_2369	pfkB-Cgl1934	+	2041728	2041428	2041778	-516	516	169	4	secondary	upstream_near_TU	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_8	NC_006958.1	58288	59211	58951	449	2.94793	42.4314	strong	CGTRNA_RS00320	TU_148	Cgl0060, Cgl0059, Cgl0058	+	59091	58791	59141	-140	140	351	1	primary	inside_TU_promoter	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_199	NC_006958.1	2652088	2653084	2652553	449	2.49175	42.3972	strong	nrdH	TU_2552	rph-Cgl2500	-	2652802	2652752	2653102	249	249	333	1	primary	inside_transcribed_region	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_199	NC_006958.1	2652088	2653084	2652553	449	2.49175	42.3972	strong	nrdH	TU_2306	nrdH	-	2680650	2680600	2680950	28097	28097	0	2	secondary	intergenic_unassigned	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_199	NC_006958.1	2652088	2653084	2652553	449	2.49175	42.3972	strong	nrdH	TU_2307	nrdH	-	2680650	2680600	2680950	28097	28097	0	3	secondary	intergenic_unassigned	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_126	NC_006958.1	1819216	1823353	1822331	448	2.60085	42.2953	strong	CGTRNA_RS08655	TU_998	Cgl1727	-	1822382	1822332	1822682	51	51	351	1	primary	inside_transcribed_region	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_126	NC_006958.1	1819216	1823353	1822331	448	2.60085	42.2953	strong	CGTRNA_RS08655	TU_999	Cgl1728	+	1822577	1822277	1822627	-246	246	351	2	secondary	inside_TU_promoter	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_126	NC_006958.1	1819216	1823353	1822331	448	2.60085	42.2953	strong	CGTRNA_RS08655	TU_996	Cgl1726	-	1819954	1819904	1820254	-2377	2377	351	3	secondary	intergenic_unassigned	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_126	NC_006958.1	1819216	1823353	1822331	448	2.60085	42.2953	strong	CGTRNA_RS08655	TU_997	Cgl1726	-	1819954	1819904	1820254	-2377	2377	351	4	secondary	intergenic_unassigned	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_140	NC_006958.1	1859554	1861458	1860105	445	2.93863	42.0428	strong	CGTRNA_RS08805	TU_1021	Cgl1762	+	1861320	1861020	1861370	-1215	1215	351	1	primary	intergenic_unassigned	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_51	NC_006958.1	759385	760965	759698	425	3.10003	40.0548	strong	CGTRNA_RS03665	TU_472	Cgl0734	-	760796	760746	761096	1098	1098	220	1	primary	inside_transcribed_region	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_223	NC_006958.1	3031635	3032624	3032106	423	3.08228	39.9021	strong	CGTRNA_RS14180	TU_2735	tnp2b(ISCg2b)	+	3032662	3032362	3032712	-556	556	263	1	primary	upstream_near_TU	gene_body
A2b	A2b-1-i7	A2b-1-i7_peak_154	NC_006958.1	1919744	1922532	1920972	422	2.85195	39.7325	strong	CGTRNA_RS15910	TU_1059	Cgl1811	-	1921276	1921226	1921576	304	304	351	1	primary	inside_transcribed_region	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_154	NC_006958.1	1919744	1922532	1920972	422	2.85195	39.7325	strong	CGTRNA_RS15910	TU_1058	Cgl1810	-	1920194	1920144	1920494	-778	778	351	2	secondary	intergenic_unassigned	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_154	NC_006958.1	1919744	1922532	1920972	422	2.85195	39.7325	strong	CGTRNA_RS15910	TU_1057	Cgl1809	-	1919461	1919411	1919761	-1511	1511	18	3	secondary	intergenic_unassigned	promoter
A2b	A2b-1-i7	A2b-1-i7_peak_17	NC_006958.1	193249	194112	193549	418	2.86067	39.4186	strong	CGTRNA_RS00955	TU_2737	tnp2f(ISCg2f)	+	193262	192962	193312	287	287	64	1	primary	inside_transcribed_region	gene_body
